"Name,""Source"",""Page"",""Size"",""Type"",""Alignment"",""AC"",""HP"",""Speed"",""Strength"",""Dexterity"",""Constitution"",""Intelligence"",""Wisdom"",""Charisma"",""Saving Throws"",""Skills"",""Damage Vulnerabilities"",""Damage Resistances"",""Damage Immunities"",""Condition Immunities"",""Senses"",""Languages"",""CR"",""Traits"",""Actions"",""Bonus Actions"",""Reactions"",""Legendary Actions"",""Mythic Actions"",""Lair Actions"",""Regional Effects"",""Environment"",""Treasure""";;;;;;;
"5th level (1 slot): cone of cold"",""Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage."","""","""","""","""","""","""","""",""""";;;;;;;
"Aartuk Elder,""BAM"",""8"",""Large"",""Plant"",""lawful evil"",""16 (natural armor)"",""75 (10d10 + 20)"",""20 ft., Climb 20 ft."",""18"",""10"",""15"",""12"",""14"",""12"","""","""","""","""","""","""",""Darkvision 60 ft., passive Perception 12"",""Aartuk"",""3 (XP 700";" PB +2)"",""Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."",""Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each.";;;;;;
;;;;;;;
Branch. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.;;;;;;;
;;;;;;;
Radiant Pellet. Ranged Spell Attack: +4 to hit, range 60 ft., one target. Hit: 10 (4d4) radiant damage.;;;;;;;
;;;;;;;
Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability (spell save DC 12):;;;;;;;
;;;;;;;
"1/day each: calm emotions, detect magic, sending"",""Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Large or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 14) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time."","""","""","""","""","""","""",""""";;;;;;;
"Aartuk Starhorror,""BAM"",""9"",""Medium"",""Plant"",""lawful evil"",""14 (natural armor)"",""52 (8d8 + 16)"",""20 ft., Climb 20 ft."",""12"",""10"",""14"",""13"",""16"",""10"","""",""Stealth +4"","""","""","""","""",""Darkvision 60 ft., passive Perception 13"",""Aartuk"",""2 (XP 450";" PB +2)"",""Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."",""Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each.";;;;;;
;;;;;;;
Branch. Melee Weapon Attack: +3 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 1) bludgeoning damage.;;;;;;;
;;;;;;;
Radiant Pellet. Ranged Spell Attack: +2 to hit, range 60 ft., one target. Hit: 7 (3d4) radiant damage.;;;;;;;
;;;;;;;
Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability:;;;;;;;
;;;;;;;
"1/day each: revivify, speak with plants"",""Rally the Troops (1/Day). The aartuk magically ends the charmed and frightened conditions on itself and each creature of its choice that it can see within 30 feet of itself.";;;;;;;
;;;;;;;
"Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 11) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time."","""","""","""","""","""","""",""""";;;;;;;
"Aartuk Weedling,""BAM"",""9"",""Medium"",""Plant"",""lawful evil"",""15 (natural armor)"",""38 (7d8 + 7)"",""20 ft., Climb 20 ft."",""14"",""12"",""13"",""10"",""13"",""10"","""","""","""","""","""","""",""Darkvision 60 ft., passive Perception 11"",""Aartuk"",""2 (XP 450";" PB +2)"",""Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."",""Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each.";;;;;;
;;;;;;;
Branch. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 2) bludgeoning damage.;;;;;;;
;;;;;;;
"Radiant Pellet. Ranged Spell Attack: +3 to hit, range 60 ft., one target. Hit: 7 (3d4 + 1) radiant damage."",""Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 11 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 12) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time."","""","""","""","""","""","""",""""";;;;;;;
"Aberrant Cultist,""MM'25"",""86"",""Small or Medium"",""Humanoid"",""neutral evil"",""14"",""137 (25d8 + 25)"",""30 ft."",""10"",""19"",""12"",""16"",""18"",""15"",""Int +6, Wis +7"",""Arcana +6, Perception +7, Religion +6"","""","""","""","""",""Darkvision 90 ft., passive Perception 17"",""Common, Deep Speech";" telepathy 30 ft."",""8 (XP 3.900";" PB +3)"","""",""Multiattack. The cultist makes two Tentacle Lash attacks. It can replace any attack with a use of Mind Rot.";;;;;
;;;;;;;
Spellcasting. The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 15):;;;;;;;
;;;;;;;
At will: Detect Thoughts, Minor Illusion;;;;;;;
;;;;;;;
Tentacle Lash. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Slashing damage plus 14 (4d6) Psychic damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two tentacles, and it has the Restrained condition until the grapple ends.;;;;;;;
;;;;;;;
"Mind Rot. Wisdom Saving Throw: DC 15, one creature the cultist can see within 90 feet. Failure: 27 (6d8) Psychic damage, and the target has the Poisoned condition until the start of the cultist's next turn. Success: Half damage only."","""",""Counterspell (2/Day). The cultist casts Counterspell in response to that spell's trigger, using the same spellcasting ability as Spellcasting."","""","""","""","""",""Any"",""Individual, Relics""";;;;;;;
"Aberrant Spirit,""TCE"",""109"",""Medium"",""Aberration"",""unaligned"",""11 + the level of the spell (natural armor)"",""40 + 10 for each spell level above 4th"",""30 ft., Fly 30 ft. (beholderkin only";" hover)"",""16"",""10"",""15"",""16"",""10"",""6"","""","""","""","""",""psychic"","""",""Darkvision 60 ft., passive Perception 10"",""Deep Speech, understands the languages you speak"",""None (XP 0)"",""Regeneration (Slaad Only). The aberration regains 5 hit points at the start of its turn if it has at least 1 hit point.";;;;;;
;;;;;;;
"Whispering Aura (Star Spawn Only). At the start of each of the aberration's turns, each creature within 5 feet of the aberration must succeed on a Wisdom saving throw against your spell save DC or take 2d6 psychic damage, provided that the aberration isn't incapacitated."",""Multiattack. The aberration makes a number of attacks equal to half this spell's level (rounded down).";;;;;;;
;;;;;;;
Eye Ray (Beholderkin Only). Ranged Spell Attack: your spell attack modifier to hit, range 150 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage.;;;;;;;
;;;;;;;
Claws (Slaad Only). Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d10 + 3 + the spell's level slashing damage. If the target is a creature, it can't regain hit points until the start of the aberration's next turn.;;;;;;;
;;;;;;;
"Psychic Slam (Star Spawn Only). Melee Spell Attack: your spell attack modifier to hit, reach 5 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage."","""","""","""","""","""","""","""",""""";;;;;;;
"Aberrant Spirit,""PHB'24"",""322"",""Medium"",""Aberration"",""neutral"",""11 + the spell's level"",""40 + 10 for each spell level above 4"",""30 ft., Fly 30 ft. (hover";" Beholderkin only)"",""16"",""10"",""15"",""16"",""10"",""6"","""","""","""","""",""psychic"","""",""Darkvision 60 ft., passive Perception 10"",""Deep Speech, understands the languages you know"",""None (XP 0";" PB equals your Proficiency Bonus)"",""Regeneration (Slaad Only). The spirit regains 5 Hit Points at the start of its turn if it has at least 1 Hit Point.";;;;;
;;;;;;;
"Whispering Aura (Mind Flayer Only). At the start of each of the spirit's turns, the spirit emits psionic energy if it doesn't have the Incapacitated condition. Wisdom Saving Throw: DC equals your spell save DC, each creature (other than you) within 5 feet of the spirit. Failure: 2d6 Psychic damage."",""Multiattack. The spirit makes a number of attacks equal to half this spell's level (round down).";;;;;;;
;;;;;;;
Claw (Slaad Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 3 + the spell's level Slashing damage, and the target can't regain Hit Points until the start of the spirit's next turn.;;;;;;;
;;;;;;;
Eye Ray (Beholderkin Only). Ranged Attack Roll: Bonus equals your spell attack modifier, range 150 ft. Hit: 1d8 + 3 + the spell's level Psychic damage.;;;;;;;
;;;;;;;
"Psychic Slam (Mind Flayer Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 3 + the spell's level Psychic damage."","""","""","""","""","""","""","""",""""";;;;;;;
"Aberrant Zealot,""PaBTSO"",""203"",""Medium"",""Aberration"",""chaotic evil"",""16 (studded leather armor)"",""93 (17d8 + 17)"",""30 ft."",""15"",""18"",""12"",""13"",""8"",""19"",""Dex +7, Cha +7"",""Perception +5"","""",""psychic"","""",""blinded, charmed, frightened, grappled, restrained"",""Darkvision 60 ft., Truesight 10 ft., passive Perception 15"",""Common, Deep Speech"",""8 (XP 3.900";" PB +3)"",""Aberrant Form. The zealot exudes the chaos of the Far Realm. Any non-Aberration creature that starts its turn within 5 feet of the zealot must succeed on a DC 15 Wisdom saving throw or take 7 (2d6) psychic damage.";;;;;;
;;;;;;;
"Weirdly Pliable. The zealot, along with any equipment it is wearing or carrying, is unnaturally flexible. The zealot can move through any space as narrow as 1 inch without squeezing."",""Multiattack. The zealot makes one Psychic Rend attack and two Shortsword attacks.";;;;;;;
;;;;;;;
Psychic Rend. Melee or Ranged Spell Attack: +7 to hit, reach 15 ft. or range 120 ft., one target. Hit: 14 (3d6 + 4) psychic damage, and the target must succeed on a DC 15 Wisdom saving throw or have the stunned condition until the start of the zealot's next turn.;;;;;;;
;;;;;;;
Shortsword. Melee Weapon Attack: +7 to hit, reach 15 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 7 (2d6) psychic damage.;;;;;;;
;;;;;;;
Spellcasting (Psionics). The zealot casts one of the following spells, requiring no components and using Charisma as the spellcasting ability (spell save DC 15):;;;;;;;
;;;;;;;
At will: detect thoughts, minor illusion;;;;;;;
;;;;;;;
"1/day each: arcane gate, hunger of Hadar"",""Void Warp (Recharge 5–6). The zealot teleports, along with any equipment it is wearing or carrying, to an unoccupied space it can see within 120 feet of itself, leaving a churning void in the space it left. Immediately after it teleports, each creature within 30 feet of the void other than the zealot must make a DC 15 Strength saving throw. On a failed save, a creature takes 18 (4d8) force damage and is pulled to the unoccupied space closest to the void. On a successful save, the creature takes half as much damage only. The void then disappears."","""","""","""","""","""","""",""""";;;;;;;
"Aberrant Zealot (Tentacled),""PaBTSO"",""181"",""Medium"",""Aberration"",""chaotic evil"",""16 (studded leather armor)"",""93 (17d8 + 17)"",""30 ft."",""15"",""18"",""12"",""13"",""8"",""19"",""Dex +7, Cha +7"",""Perception +5"","""",""psychic"","""",""blinded, charmed, frightened, grappled, restrained"",""Darkvision 60 ft., Truesight 10 ft., passive Perception 15"",""Common, Deep Speech"",""8 (XP 3.900";" PB +3)"",""Aberrant Form. The zealot exudes the chaos of the Far Realm. Any non-Aberration creature that starts its turn within 5 feet of the zealot must succeed on a DC 15 Wisdom saving throw or take 7 (2d6) psychic damage.";;;;;;
;;;;;;;
"Weirdly Pliable. The zealot, along with any equipment it is wearing or carrying, is unnaturally flexible. The zealot can move through any space as narrow as 1 inch without squeezing."",""Multiattack. The zealot makes one Psychic Rend attack and two Shortsword attacks.";;;;;;;
;;;;;;;
Psychic Rend. Melee or Ranged Spell Attack: +7 to hit, reach 15 ft. or range 120 ft., one target. Hit: 14 (3d6 + 4) psychic damage, and the target must succeed on a DC 15 Wisdom saving throw or have the stunned condition until the start of the zealot's next turn.;;;;;;;
;;;;;;;
Shortsword. Melee Weapon Attack: +7 to hit, reach 15 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 7 (2d6) psychic damage.;;;;;;;
;;;;;;;
Mind Blast (Recharge 5–6). The zealot magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 15 Intelligence saving throw or take 22 (4d8 + 4) psychic damage and have the stunned condition for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the stunned condition on itself on a success.;;;;;;;
;;;;;;;
Spellcasting (Psionics). The zealot casts one of the following spells, requiring no components and using Charisma as the spellcasting ability (spell save DC 15):;;;;;;;
;;;;;;;
At will: detect thoughts, minor illusion;;;;;;;
;;;;;;;
"1/day each: arcane gate, hunger of Hadar"",""Void Warp (Recharge 5–6). The zealot teleports, along with any equipment it is wearing or carrying, to an unoccupied space it can see within 120 feet of itself, leaving a churning void in the space it left. Immediately after it teleports, each creature within 30 feet of the void other than the zealot must make a DC 15 Strength saving throw. On a failed save, a creature takes 18 (4d8) force damage and is pulled to the unoccupied space closest to the void. On a successful save, the creature takes half as much damage only. The void then disappears."","""","""","""","""","""","""",""""";;;;;;;
"Abhorrent Overlord,""MOT"",""219"",""Large"",""Fiend"",""lawful evil"",""16 (natural armor)"",""136 (16d10 + 48)"",""30 ft., Fly 60 ft."",""20"",""18"",""16"",""15"",""14"",""16"",""Con +7, Cha +7"",""Deception +7, Intimidation +7, Persuasion +7"","""",""cold, necrotic"",""poison"",""poisoned"",""Darkvision 120 ft., passive Perception 12"",""Abyssal, Common, Infernal"",""9 (XP 5.000";" PB +4)"",""Innate Spellcasting. The abhorrent overlord's spellcasting ability is Charisma (spell save DC 15). It can innately cast the following spells, requiring no material components:";;;;;;
;;;;;;;
1/day each: confusion, crown of madness, suggestion;;;;;;;
;;;;;;;
Insatiable Greed. The abhorrent overlord can sense the presence of gold within 1,000 feet of itself. It can determine which location has the greatest amount of gold and can sense the direction to that site. If the gold is being moved, it knows the direction of the movement. It can't locate gold if any thickness of clay or lead, even a thin sheet, blocks a direct path between it and the gold.;;;;;;;
;;;;;;;
"Magic Resistance. The abhorrent overlord has advantage on saving throws against spells and other magical effects."",""Multiattack. The abhorrent overlord makes two attacks with its claws.";;;;;;;
;;;;;;;
Claws. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage plus 14 (4d6) necrotic damage. The abhorrent overlord regains hit points equal to half the amount of necrotic damage dealt if the target is a creature.;;;;;;;
;;;;;;;
Storm of Crows (Recharge 6). The abhorrent overlord conjures a swarm of spectral crows and harpies in a 20-foot-radius sphere centered on a point the overlord can see within 120 feet of it. The sphere remains for 1 minute or until the overlord loses concentration (as if concentrating on a spell), and its area is lightly obscured and difficult terrain.;;;;;;;
;;;;;;;
"Any creature that moves into the area for the first time on a turn or starts its turn there must make a DC 15 Constitution saving throw. A creature takes 16 (3d10) slashing damage plus 16 (3d10) psychic damage on a failed save, or half as much damage on a successful one."","""","""","""","""","""","""","""",""""";;;;;;;
"Abjurer,""VGM"",""209"",""Medium"",""Humanoid (Any Race)"",""any alignment"",""12 (15 with mage armor)"",""84 (13d8 + 26)"",""30 ft."",""9"",""14"",""14"",""18"",""12"",""11"",""Int +8, Wis +5"",""Arcana +8, History +8"","""","""","""","""",""passive Perception 11"",""Any four languages"",""9 (XP 5.000";" PB +4)"",""Arcane Ward. The abjurer has a magical ward that has 30 hit points. Whenever the abjurer takes damage, the ward takes the damage instead. If the ward is reduced to 0 hit points, the abjurer takes any remaining damage. When the abjurer casts an abjuration spell of 1st level or higher, the ward regains a number of hit points equal to twice the level of the spell.";;;;;;
;;;;;;;
Spellcasting. The abjurer is a 13th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). The abjurer has the following wizard spells prepared:;;;;;;;
;;;;;;;
Cantrips (at will): blade ward, dancing lights, mending, message, ray of frost;;;;;;;
;;;;;;;
1st level (4 slots): alarm*, mage armor*, magic missile, shield*;;;;;;;
;;;;;;;
2nd level (3 slots): arcane lock*, invisibility;;;;;;;
;;;;;;;
3rd level (3 slots): counterspell*, dispel magic*, fireball;;;;;;;
;;;;;;;
4th level (3 slots): banishment*, stoneskin*;;;;;;;
;;;;;;;
5th level (2 slots): cone of cold, wall of force;;;;;;;
;;;;;;;
6th level (1 slot): flesh to stone, globe of invulnerability*;;;;;;;
;;;;;;;
7th level (1 slot): symbol*, teleport;;;;;;;
;;;;;;;
"*Abjuration spell of 1st level or higher"",""Quarterstaff. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) bludgeoning damage, or 3 (1d8 - 1) bludgeoning damage if used with two hands."","""","""","""","""","""","""",""Urban"",""""";;;;;;;
"Abjurer Wizard,""MPMM"",""260"",""Medium"",""Humanoid"",""any alignment"",""12 (15 with mage armor)"",""104 (16d8 + 32)"",""30 ft."",""9"",""14"",""14"",""18"",""12"",""11"",""Int +8, Wis +5"",""Arcana +8, History +8"","""","""","""","""",""passive Perception 11"",""Any four languages"",""9 (XP 5.000";" PB +4)"","""",""Multiattack. The abjurer makes three Arcane Burst attacks.";;;;;;
;;;;;;;
Arcane Burst. Melee or Ranged Spell Attack: +6 to hit, reach 5 ft. or range 120 ft., one target. Hit: 20 (3d10 + 4) force damage.;;;;;;;
;;;;;;;
Force Blast. Each creature in a 20-foot cube originating from the abjurer must make a DC 16 Constitution saving throw. On a failed save, a creature takes 36 (8d8) force damage and is pushed up to 10 feet away from the abjurer. On a successful save, a creature takes half as much damage and isn't pushed.;;;;;;;
;;;;;;;
Spellcasting. The abjurer casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 16):;;;;;;;
;;;;;;;
At will: dancing lights, mage hand, message, prestidigitation;;;;;;;
;;;;;;;
2/day each: dispel magic, lightning bolt, mage armor;;;;;;;
;;;;;;;
"1/day each: arcane lock, banishment, globe of invulnerability, invisibility, wall of force"","""",""Arcane Ward (Recharge 4–6). When the abjurer or a creature it can see within 30 feet of it takes damage, the abjurer magically creates a protective barrier around itself or the other creature. The barrier reduces the damage to the protected creature by 26 (4d10 + 4), to a minimum of 0, and then vanishes."","""","""","""","""",""Urban"",""""";;;;;;;
"Aboleth,""MM'14"",""13"",""Large"",""Aberration"",""lawful evil"",""17 (natural armor)"",""135 (18d10 + 36)"",""10 ft., Swim 40 ft."",""21"",""9"",""15"",""18"",""15"",""18"",""Con +6, Int +8, Wis +6"",""History +12, Perception +10"","""","""","""","""",""Darkvision 120 ft., passive Perception 20"",""Deep Speech, telepathy 120 ft."",""10 (XP 5.900";" PB +4)"",""Amphibious. The aboleth can breathe air and water.";;;;;;
;;;;;;;
Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.;;;;;;;
;;;;;;;
"Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature."",""Multiattack. The aboleth makes three tentacle attacks.";;;;;;;
;;;;;;;
Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.;;;;;;;
;;;;;;;
Tail. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage.;;;;;;;
;;;;;;;
Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.;;;;;;;
;;;;;;;
"Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth."","""","""",""Detect. The aboleth makes a Wisdom (Perception) check.";;;;;;;
;;;;;;;
Tail Swipe. The aboleth makes one tail attack.;;;;;;;
;;;;;;;
"Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes."","""",""When fighting inside its lair, an aboleth can invoke the ambient magic to take lair actions. On initiative count 20 (losing initiative ties), the aboleth takes a lair action to cause one of the following effects:";;;;;;;
;;;;;;;
