"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"María loca","CoS","44","Mediano","Humanoide (humano)","neutral caótico","10","4 (1d8)","30 pies.","10","10","10","10","10","10","","","","","","","Percepción pasiva 10","Cualquier idioma (generalmente común)","0 (PX 10; PB +2)","","Club. Ataque con arma cuerpo a cuerpo: +2 al impacto, alcance 5 pies, un objetivo. Impacto: 2 (1d4) de daño contundente.","","","","","","","",""
"Señora Eva","CoS","233","Mediano","Humanoide (humano)","neutral caótico","10","88 (16d8 + 16)","20 pies.","8","11","12","17","20","18","Con +5","Arcanos +7, Engaño +8, Perspicacia +13, Intimidación +8, Percepción +9, Religión +7","","","","","percepción pasiva 19","Abisal, Común, Élfico, Infernal","10 (PX 5.900; PB +4)","Lanzamiento de hechizos. Madame Eva es una lanzadora de hechizos de nivel 16. Su habilidad para lanzar hechizos es Sabiduría (salvación de hechizos CD 17, +9 para golpear con ataques de hechizos). Madame Eva tiene preparados los siguientes hechizos de clérigo:

Cantrips (a voluntad): luz, Reparar, llama sagrada, taumaturgia

1er nivel (4 espacios): Perdición, Comandar, Detectar el mal y el bien, Protección contra el mal y el bien

2do nivel (3 espacios): Restauración menor, Protección contra el veneno, Arma espiritual

3er nivel (3 espacios): Crear comida y agua, hablar con los muertos, Espiritus guardianes

4to nivel (3 espacios): Divinidad, Libertad de movimiento, Guardián de la fe

5to nivel (2 espacios): Restauración mayor, resucitar muertos

6to nivel (1 espacio): Encontrar el camino, Dañar, Visión verdadera

7mo nivel (1 espacio): tormenta de fuego, Regenerar

8vo nivel (1 espacio): terremoto","Daga. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 2 (1d4) de daño perforante.

Maldición (Recarga después de un largo descanso). Madame Eva apunta a una criatura que puede ver a 30 pies de ella. El objetivo debe superar una tirada de salvación de Sabiduría CD 17 o será maldecido. Mientras está maldito, el objetivo queda cegado y ensordecido. La maldición dura hasta que termina con un hechizo de restauración mayor, un hechizo de eliminación de maldición o magia similar. Cuando termina la maldición, Madame Eva sufre 5d6 de daño psíquico.

Mal de Ojo (Recarga después de un Descanso Corto o Largo). Madame Eva apunta a una criatura que puede ver a 10 pies de ella y lanza uno de los siguientes hechizos sobre el objetivo (salvo CD 17), que no requiere componentes somáticos ni materiales para hacerlo: Amistad Animal, hechizar a una persona o retener a una persona. Si el objetivo tiene éxito en la tirada de salvación inicial, Madame Eva queda ciega hasta el final de su siguiente turno. Una vez que un objetivo tiene éxito en una tirada de salvación contra este efecto, es inmune al poder del mal de ojo de todos los Vistani durante 24 horas.","","","","","","","",""
"Señora Kulp","JttRC","27","Pequeño","Humanoide (gnomo)","neutral","15 (peto)","9 (2d8)","25 pies.","11","12","11","12","14","16","","Engaño +5, Perspicacia +4, Persuasión +5","","","","","Visión oscura 60 pies, percepción pasiva 12","Dos idiomas cualesquiera, gnómico","1/8 (PX 25; PB +2)","Gnomo astuto. La señora tiene ventaja en todas las tiradas de salvación de Inteligencia, Sabiduría y Carisma contra la magia.","Estoque. Ataque con arma cuerpo a cuerpo: +3 para impactar, alcance 5 pies, un objetivo. Impacto: 5 (1d8 + 1) de daño perforante.","","Parar. Madam Kulp añade 2 a su CA contra un ataque cuerpo a cuerpo que la golpearía. Para hacerlo, Madame Kulp debe ver al atacante y empuñar un arma cuerpo a cuerpo.","","","","","",""
"El homúnculo de Maddgoth","WDMM","96","Grande","Constructo","neutral","13 (armadura natural)","55 (10d10)","20 pies, Vuela 40 pies.","15","15","11","10","10","7","","","","","veneno","encantado, envenenado","Visión en la oscuridad 60 pies, percepción pasiva 10","Abisal, Común, Draconiano, Gnómico pero no puede hablar","2 (PX 450; PB +2)","Vínculo Telepático. Si bien el homúnculo está en el mismo plano de existencia que su maestro, puede transmitir mágicamente lo que siente a su maestro y los dos pueden comunicarse telepáticamente.","Morder. Ataque con arma cuerpo a cuerpo: +4 para golpear, alcance 5 pies, una criatura. Impacto: 2d6 + 2 de daño perforante, y el objetivo debe superar una tirada de salvación de Constitución CD 10 o será envenenado durante 1 minuto. Si la tirada de salvación falla por 5 o más, el objetivo queda envenenado durante 5 (1d10) minutos y queda inconsciente mientras está envenenado de esta manera.","","","","","","","",""
"Magera el titán del amanecer","SKT","241","Gigantesco","Elemental","mal caótico","16","341 (22d20 + 110)","50 pies.","21","22","20","10","10","19","Con +12, Sab +7, Cha +11","","","contundente, perforante y cortante de ataques no mágicos","fuego, veneno","encantado, asustado, aferrado, paralizado, petrificado, envenenado, tendido, restringido","Vista ciega 120 pies, percepción pasiva 10","Ignacio","23 (PX 50.000; PB +7)","Ataques potenciados. Los ataques de golpe de Maegera se tratan como mágicos con el fin de superar la resistencia y la inmunidad al daño de ataques no mágicos.

Aura de fuego. Al comienzo de cada uno de los turnos de Magera, cada criatura a 30 pies de ella sufre 35 (10d6) de daño por fuego, y los objetos inflamables en el aura que no se usan ni se transportan se encienden. Una criatura también recibe 35 (10d6) de daño por fuego al tocar a Magera o al golpearla con un ataque cuerpo a cuerpo mientras está a 10 pies de ella, y una criatura recibe ese daño la primera vez en un turno en el que Magera se mueve a su espacio. Las armas no mágicas que golpean a Magera son destruidas por el fuego inmediatamente después de causarle daño.

Forma de fuego. Maegera puede entrar en el espacio de una criatura hostil y detenerse allí. Puede moverse a través de un espacio tan estrecho como 1 pulgada de ancho sin apretarse si el fuego pudiera atravesar ese espacio.

Iluminación. Maegera arroja luz brillante en un radio de 120 pies y luz tenue en 120 pies adicionales.

Resistencia mágica. Maegera tiene ventaja en las tiradas de salvación contra hechizos y otros efectos mágicos.","Multiataque. Maegera realiza tres ataques de slam.

Golpe. Ataque con arma cuerpo a cuerpo: +12 para impactar, alcance 15 pies, un objetivo. Impacto: 15 (3d6 + 5) de daño contundente más 35 (10d6) de daño por fuego,

Lanzamiento de hechizos. Maegera lanza una bola de fuego (salvación de hechizo CD 19), que no requiere componentes materiales y usa Carisma como habilidad para lanzar hechizos.","","","Apagar la magia. Magera apunta a una criatura que puede ver a 60 pies de ella. Se suprime cualquier resistencia o inmunidad al daño por fuego que el objetivo obtenga de un hechizo u objeto mágico. El efecto dura hasta el final del siguiente turno de Maegera.

Nube de Humo (Cuesta 2 Acciones). Maegera exhala una nube ondulante de humo caliente y brasas que llena un cubo de 60 pies. Cada criatura en el área sufre 11 (2d10) de daño por fuego. La nube dura hasta el final del siguiente turno de Maegera. Las criaturas que se encuentran completamente en la nube quedan ciegas y no se las puede ver.

Crear Elemental de Fuego (Cuesta 3 Acciones). Los puntos de vida de Maegera se reducen en 50 cuando una parte de ella se separa y se convierte en un elemental de fuego con 102 puntos de vida. El elemento fuego aparece en un espacio desocupado dentro de los 15 pies de Maegera y actúa según el conteo de iniciativa de Maegera. Maegera no puede usar esta acción si tiene 50 puntos de vida o menos. El elemento fuego obedece las órdenes de Magera y lucha hasta ser destruido.","","","","",""
"Maegla Tarnlar","PotA","25","Mediano","Humanoide (humano)","cualquier alineación","10","4 (1d8)","30 pies.","10","10","10","10","10","10","","","","","","","Percepción pasiva 10","Cualquier idioma (generalmente común)","0 (PX 10; PB +2)","","Club. Ataque con arma cuerpo a cuerpo: +2 al impacto, alcance 5 pies, un objetivo. Impacto: 2 (1d4) de daño contundente.","","","","","","","",""
"maelefante","MPP","35","Grande","Demonio","maldad legal","15 (armadura de media placa)","161 (17d10+68)","40 pies.","19","10","18","10","16","12","Fue +8, Con +8","Percepción +7","","ácido, fuego, rayo","veneno","asustado, envenenado","Visión oscura 120 pies, percepción pasiva 17","Infernal","10 (PX 5.900; PB +4)","Resistencia mágica. El maelephant tiene ventaja en las tiradas de salvación contra hechizos y otros efectos mágicos.","Multiataque. El maelephant realiza un ataque de Barbed Trunk y dos ataques de Glaive.

Tronco de púas. Ataque con arma cuerpo a cuerpo: +8 para impactar, alcance 10 pies, un objetivo. Impacto: 13 (2d8 + 4) de daño perforante más 13 (2d12) de daño por veneno. Si el objetivo es una criatura Mediana o más pequeña, tiene la condición de apresado (escapar CD 14). Hasta que termine esta lucha, el objetivo tiene la condición de inmovilizado. Mientras agarra a una criatura, el maelephant no puede usar su trompa con púas para atacar a otras criaturas.

Guja. Ataque con arma cuerpo a cuerpo: +8 para impactar, alcance 10 pies, un objetivo. Impacto: 15 (2d10 + 4) de daño cortante.

Veneno mental (recarga 5-6). El maelephant expulsa gas venenoso de su trompa en un cono de 60 pies. Cada criatura en esa área debe realizar una tirada de salvación de Constitución CD 16. Si falla la salvación, la criatura sufre 39 (6d12) de daño por veneno y tiene la condición de envenenado. Mientras está envenenada de esta manera, la criatura pierde todas sus competencias en armas y habilidades, no puede lanzar hechizos, no puede entender el lenguaje y tiene desventaja en las tiradas de salvación de Inteligencia. El objetivo puede repetir la tirada de salvación al final de cada uno de sus turnos, finalizando el efecto sobre sí mismo si tiene éxito. Con una salvación exitosa, el objetivo recibe solo la mitad del daño y es inmune al Veneno Mental de este maelephant durante 24 horas.","","","","","","","",""
"Nómada del elefante","CoA","245","Grande","Demonio","maldad legal","16 (cota de malla)","190 (20d10 + 80)","40 pies.","22","11","18","14","17","15","Fuerza +11, Con +9","Atletismo +16, Perspicacia +8, Intimidación +7, Percepción +8","","ácido, fuego, relámpagos; contundente, perforante y cortante de ataques no mágicos","","asustado, envenenado","Vista ciega 30 pies, Visión en la oscuridad 120 pies, Percepción pasiva 18","Común, Infernal, Maelephant","14 (PX 11.500; PB +5)","Resistencia mágica. El maelephant tiene ventaja en las tiradas de salvación contra hechizos y otros efectos mágicos.

Regenerador. Al comienzo de su turno, si el maelephant tiene menos de la mitad de sus puntos de vida, regenera 20 puntos de vida. Este rasgo no funciona si el elefante comienza su turno con menos de 1 punto de vida.","Multiataque. El maelephant realiza dos ataques usando su Garra, Trompa o una combinación de ambos.

Garra. Ataque con arma cuerpo a cuerpo: +11 para golpear, alcance 5 pies, un objetivo. Impacto: 17 (2d10 + 6) de daño cortante.

Trompa. Ataque con arma cuerpo a cuerpo: +11 para impactar, alcance 10 pies, un objetivo. Impacto: 16 (3d6 + 6) de daño perforante. Si el objetivo es una criatura Mediana o más pequeña, tiene la condición de apresado (escapar CD 18). Hasta que termine esta lucha, el objetivo tiene la condición de inmovilizado. Mientras agarra a una criatura, el maelephant no puede usar su ataque Trunk contra otras criaturas.

Aliento nocivo (recarga 5-6). El elefante libera una nube de gas nocivo. Todas las criaturas en un cono de 30 pies frente al elefante deben realizar una tirada de salvación de Constitución CD 16. Los objetivos reciben 42 (12d6) de daño por ácido si falla la salvación, o la mitad de daño si tiene éxito. Además, si falla la salvación, las puntuaciones de Inteligencia y Carisma de la criatura se convierten en 1. La criatura no puede lanzar hechizos, activar objetos mágicos, comprender el lenguaje ni comunicarse de ninguna manera inteligible. Sin embargo, la criatura puede identificar a sus amigos, seguirlos e incluso protegerlos. Una criatura débil puede repetir la salvación cada minuto, finalizando el efecto si tiene éxito.","Cargo imprudente. El maelephant se mueve hasta 40 pies hacia una criatura que puede ver y si se mueve al menos 20 pies en línea recta, puede realizar un ataque de Garra. Con un impacto, el objetivo sufre 14 (4d6) de daño de fuerza adicional y queda en condición de decúbito prono.","Postura defensiva. Como reacción al recibir daño, el maelephant adopta una postura defensiva hasta el final de su siguiente turno. Mientras está en posición defensiva, el maelephant se mueve a la mitad de su velocidad y no puede realizar acciones adicionales, pero su CA aumenta en 5.","","","","","",""
"mago","MM'14","347","Mediano","Humanoide (cualquier raza)","cualquier alineación","12 (15 con armadura de mago)","40 (9d8)","30 pies.","9","14","11","17","12","11","Int +6, Sab +4","Arcanos +6, Historia +6","","","","","Percepción pasiva 11","Cuatro idiomas cualesquiera","6 (PX 2.300; PB +3)","Lanzamiento de hechizos. El mago es un lanzador de conjuros de nivel 9. Su habilidad para lanzar hechizos es Inteligencia (salvación de hechizos CD 14, +6 para golpear con ataques de hechizos). El mago tiene preparados los siguientes hechizos de mago:

Trucos (a voluntad): Rayo de fuego, Luz, Mano de mago, Prestidigitación

1er nivel (4 espacios): Detectar magia, Armadura de mago, Misil mágico, Escudo

2do nivel (3 espacios): paso brumoso, Sugestion

3er nivel (3 espacios): Contrahechizo, bola de fuego, Volar

4to nivel (3 espacios): Invisibilidad mayor, Tormenta de hielo

5to nivel (1 espacio): cono de frío","Daga. Ataque con arma cuerpo a cuerpo o a distancia: +5 para impactar, alcance 5 pies o alcance 20/60 pies, un objetivo. Impacto: 4 (1d4 + 2) de daño perforante.","","","","","","","Urbano",""
"mago","MM'25","199","Pequeño o mediano","Humanoide (mago)","neutral","15","81 (18d8)","30 pies.","9","14","11","17","12","11","Int +6, Sab +4","Arcanos +6, Historia +6, Percepción +4","","","","","percepción pasiva 14","Común y tres idiomas","6 (PX 2.300; PB +3)","","Multiataque. El mago realiza tres ataques Arcane Burst.

Explosión Arcana. Tirada de ataque cuerpo a cuerpo o a distancia: +6, alcance 5 pies o alcance 120 pies. Impacto: 16 (3d8 + 3) de daño de fuerza.

Lanzamiento de hechizos. El mago lanza uno de los siguientes hechizos, usando Inteligencia como habilidad de lanzamiento de hechizos (salvación de hechizo CD 14):

A voluntad: Detectar magia, Luz, Armadura de mago (incluida en AC), Mano de mago, Prestidigitación

2/día cada uno: bola de fuego (versión nivel 4), Invisibilidad

1/día cada uno: cono de frío, Volar","Paso Brumoso (3/Día). El mago lanza paso brumoso, usando la misma habilidad de lanzamiento de hechizos que Spellcasting.","Magia protectora (3/día). El mago lanza Contrahechizo o Escudo en respuesta al desencadenante del hechizo, usando la misma habilidad de lanzamiento de hechizos que Lanzamiento de hechizos.","","","","","Cualquier","Individual, Arcanos"
"Aprendiz de mago","MM'25","198","Pequeño o mediano","Humanoide (mago)","neutral","15","49 (9d8 + 9)","30 pies.","8","14","12","16","13","10","Int +5, Sab +3","Arcanos +5, Percepción +3","","","","","percepción pasiva 13","Común más otro idioma","2 (PX 450; PB +2)","","Explosión Arcana. Tirada de ataque cuerpo a cuerpo o a distancia: +5, alcance 5 pies o alcance 120 pies. Impacto: 14 (2d10 + 3) de daño de fuerza.

Lanzamiento de hechizos. El mago lanza uno de los siguientes hechizos, usando Inteligencia como habilidad de lanzamiento de hechizos (salvación de hechizos CD 13, +5 para golpear con ataques de hechizos):

A voluntad: Mano de mago, Prestidigitación

1/día cada uno: Disfrazarse, Cuchillo de hielo, Armadura de mago (incluida en AC), Onda atronadora","","","","","","","Cualquier","Individual, Arcanos"
"Cazador de magos","SCC","199","Grande","Monstruosidad","maldad legal","15 (armadura natural)","85 (10d10+30)","40 pies, escalar 40 pies (solo en forma de cazador), volar 10 pies (solo en forma de centinela flotante)","19","15","16","11","17","10","Int +3, Sab +6, Car +3","Percepción +9, Sigilo +5","","","","cegado, encantado, ensordecido, asustado, propenso","Vista ciega 120 pies (ciega más allá de este radio), Percepción pasiva 19","Entiende lo común pero no puede hablar.","5 (PX 1.800; PB +3)","Sentido Mágico. El cazador conoce la ubicación de cada lanzador de conjuros, hechizo activo y objeto mágico dentro de un radio de 120 pies de sí mismo.

Escalada de araña (solo forma de cazador). El cazador puede escalar superficies difíciles, incluso techos boca abajo, sin necesidad de realizar una prueba de habilidad.","Multiataque (solo forma de cazador). El cazador realiza dos ataques de Garra.

Garra (solo forma de cazador). Ataque con arma cuerpo a cuerpo: +7 para impactar, alcance 5 pies, un objetivo. Impacto: 15 (2d10 + 4) de daño cortante.

Cola. Ataque con arma cuerpo a cuerpo: +7 para impactar, alcance 10 pies, un objetivo. Impacto: 22 (4d8 + 4) de daño perforante y el objetivo queda apresado (escapar CD 15). Hasta que termine esta presa, el objetivo está inmovilizado y el cazador no puede realizar un ataque de cola contra otro objetivo.

Rastreador de magos (solo formulario centinela). El cazador emite un pulso de energía que le ayuda a localizar mejor a su presa mágica. Cada criatura a 120 pies del cazador que tenga la capacidad de lanzar hechizos debe superar una tirada de salvación de Sabiduría CD 14 o ser marcada místicamente por el cazador durante 1 hora.

Mientras está marcada, una criatura no puede ocultarse del cazador y no obtiene ningún beneficio de la condición invisible contra el cazador. Además, mientras una criatura marcada está en el mismo plano de existencia que el cazador, el cazador siempre conoce la distancia y la dirección de la criatura.","Formulario de turno. El cazador adopta su forma de centinela similar a un dron o se despliega en su forma de cazador. Sus estadísticas de juego son las mismas en cada forma.","Consumir y destruir. Cuando el cazador recibe daño de un hechizo, solo recibe la mitad del daño desencadenante (redondeado hacia abajo). Si la criatura que lanzó el hechizo está a 60 pies del cazador, esa criatura debe superar una tirada de salvación de Destreza CD 14 o sufrir la otra mitad del daño.","","","","","",""
"Mago de Usamigaras","QftIS","206","Mediano","humanoide","neutral caótico","11","9 (2d8)","30 pies.","10","12","10","15","10","13","","Arcanos +4, Engaño +5, Juego de manos +3","","","","","Percepción pasiva 10","Común","1/8 (PX 25; PB +2)","","Explosión Arcana. Ataque con hechizos cuerpo a cuerpo o a distancia: +4 para impactar, alcance 5 pies o alcance 120 pies, un objetivo. Impacto: 7 (1d10 + 2) de daño de fuerza.

Lanzamiento de hechizos. El mago lanza uno de los siguientes conjuros, usando Inteligencia como habilidad de lanzamiento de conjuros (salvación de conjuro CD 12):

A voluntad: Luz, Mano de mago, Ilusión menor

1/día cada uno: Hechizar persona, Disfrazarse, Imagen silenciosa","","","","","","","",""
"mago","ERLW","318","Mediano","Humanoide (cualquier raza)","cualquier alineación","11","9 (2d8)","30 pies.","11","13","10","14","14","12","","Arcanos +4","","","","","percepción pasiva 12","Común más dos idiomas cualesquiera","0 (PX 10; PB +2)","Lanzamiento de hechizos. La aptitud para lanzar conjuros del mago es Inteligencia (salvación de conjuro CD 12). Para realizar uno de sus rituales, el mago debe proporcionar componentes materiales adicionales cuyo valor en piezas de oro sea 20 veces el nivel del hechizo. Estos componentes se consumen al finalizar el ritual. El mago conoce los siguientes hechizos:

A voluntad: Mano de mago, Prestidigitación.

Rituales: tocar","Daga. Ataque con arma cuerpo a cuerpo o a distancia: +3 para impactar, alcance 5 pies o alcance 20/60 pies, un objetivo. Impacto: 3 (1d4 + 1) de daño perforante.","","","","","","","",""
"Maggie Keeneyes (Nivel 1)","CRCotN","189","Grande","Gigante (Ogro)","neutral legal","13 (armadura de cuero)","85 (10d10+30)","30 pies.","18","14","16","14","14","8","Fue +6, Con +5","Atletismo +6, Perspicacia +4, Percepción +4, Persuasión +3","","","","","Visión oscura 60 pies, percepción pasiva 14","Común, Gigante","3 (XP 700; PB +2)","Preparación táctica. Maggie y sus aliados a 30 pies de ella tienen ventaja en las tiradas de iniciativa, siempre y cuando Maggie no esté incapacitada.","Mazo gigante. Ataque con arma cuerpo a cuerpo: +6 para impactar, alcance 10 pies, un objetivo. Impacto: 13 (2d8 + 4) de daño contundente, y si el objetivo es una criatura, Maggie puede obligarlo a realizar una tirada de salvación de Fuerza CD 14; en una salvación fallida, el objetivo es empujado a 5 pies de distancia de Maggie y derribado.

Lanzamiento de martillo. Ataque con arma a distancia: +6 para impactar, alcance 20/60 pies, un objetivo. Impacto: 9 (2d4 + 4) de daño contundente, y si el objetivo es una criatura, Maggie puede obligarlo a realizar una tirada de salvación de Fuerza CD 14; en una salvación fallida, el objetivo es empujado a 5 pies de distancia de Maggie y derribado.","","","","","","","",""
"Maggie Keeneyes (Nivel 2)","CRCotN","191","Grande","Gigante (Ogro)","neutral legal","15 (camisa de cadenas)","114 (12d10 + 48)","30 pies, nadar 30 pies.","18","14","18","14","16","8","Fue +7, Con +7","Atletismo +7, Perspicacia +6, Percepción +6, Persuasión +5","","","","atemorizado","Visión oscura 60 pies, percepción pasiva 16","Común, Gigante","5 (PX 1.800; PB +3)","Empujar. Una vez durante cada uno de sus turnos, después de golpear a una criatura con un ataque, Maggie puede obligar al objetivo a realizar una tirada de salvación de Fuerza CD 15; en una salvación fallida, el objetivo es empujado hasta 10 pies horizontalmente lejos de Maggie y queda derribado.

Preparación táctica. Maggie y sus aliados a 30 pies de ella tienen ventaja en las tiradas de iniciativa, siempre y cuando Maggie no esté incapacitada.","Multiataque. Maggie realiza dos ataques Giant Maul o Hammer Toss.

Mazo gigante. Ataque con arma cuerpo a cuerpo: +7 para impactar, alcance 10 pies, un objetivo. Impacto: 13 (2d8 + 4) de daño contundente.

Lanzamiento de martillo. Ataque con arma a distancia: +7 para impactar, alcance 20/60 pies, un objetivo. Impacto: 9 (2d4 + 4) de daño contundente.","Rally (1/Día). Maggie apunta a una criatura que puede ver a 30 pies de ella y la refuerza con palabras de aliento. El objetivo gana 15 puntos de vida temporales si puede ver u oír a Maggie.","","","","","","",""
"Maggie Keeneyes (Nivel 3)","CRCotN","194","Grande","Gigante (Ogro)","neutral legal","18 (placa)","142 (15d10 + 60)","30 pies, nadar 30 pies (armadura de ruidio)","20","14","18","14","14","8","Fue +8, Con +7","Atletismo +8, Perspicacia +5, Percepción +5, Persuasión +5","","psíquico (otorgado por armadura de ruidio)","","encantado, asustado","Visión oscura 60 pies, percepción pasiva 16","Común, Gigante","8 (PX 3.900; PB +3)","Equipo especial. Maggie lleva una armadura de ruidio (placa; ver apéndice B). Si Maggie obtiene un 1 en una tirada de salvación mientras usa la armadura, debe superar una tirada de salvación de Carisma CD 20 o ganar 1 nivel de agotamiento.

Empujar. Una vez durante cada uno de sus turnos, después de golpear a una criatura con un ataque, Maggie puede obligar al objetivo a realizar una tirada de salvación de Fuerza CD 16; en una salvación fallida, el objetivo es empujado hasta 15 pies horizontalmente lejos de Maggie y queda derribado.

Preparación táctica. Maggie y sus aliados a 30 pies de ella tienen ventaja en las tiradas de iniciativa, siempre y cuando Maggie no esté incapacitada.","Multiataque. Maggie realiza dos ataques Heavy Greataxe o Hammer Toss.

Gran hacha pesada. Ataque con arma cuerpo a cuerpo: +8 para impactar, alcance 10 pies, un objetivo. Impacto: 16 (2d12 + 5) de daño cortante.

Lanzamiento de martillo. Ataque con arma a distancia: +8 para impactar, alcance 20/60 pies, un objetivo. Impacto: 15 (4d4 + 5) de daño contundente.","Rally (1/Día). Maggie apunta a una criatura que puede ver a 60 pies de ella y la refuerza con palabras de aliento. El objetivo gana 30 puntos de vida temporales si puede ver u oír a Maggie.","","","","","","",""
"Magíster Umbero Zastro","WDH","82","Mediano","Humanoide (semielfo)","neutral legal","11","9 (2d8)","30 pies.","11","12","11","12","14","16","","Engaño +5, Perspicacia +4, Persuasión +5","","","","","Visión oscura 60 pies, percepción pasiva 12","Común, Élfico","0 (PX 10; PB +2)","Ascendencia Fey. Umbero tiene ventaja en los tiros de salvación contra ser encantado y la magia no puede hacerlo dormir.","Estoque. Ataque con arma cuerpo a cuerpo: +3 para impactar, alcance 5 pies, un objetivo. Impacto: 5 (1d8 + 1) de daño perforante.","","Parar. El noble añade 2 a su CA contra un ataque cuerpo a cuerpo que le impactaría. Para hacerlo, el noble debe ver al atacante y empuñar un arma cuerpo a cuerpo.","","","","","",""
"Magma Mephit","MM'14","216","Pequeño","Elemental","mal neutral","11","22 (5d6 + 5)","30 pies, volar 30 pies.","8","12","12","7","10","10","","Sigilo +3","frío","","fuego, veneno","envenenado","Visión en la oscuridad 60 pies, percepción pasiva 10","Ignacio, Terran","1/2 (PX 100; PB +2)","Estallido de muerte. Cuando el mephit muere, explota en una explosión de lava. Cada criatura a 5 pies de él debe realizar una tirada de salvación de Destreza CD 11, recibiendo 7 (2d6) de daño por fuego si falla, o la mitad de daño si tiene éxito.

Falsa apariencia. Mientras el mephit permanece inmóvil, es indistinguible de un montículo de magma ordinario.

Lanzamiento de hechizos innatos (1/día). El mephit puede fundir metal caliente de forma innata (salvación de conjuro CD 10), sin necesidad de componentes materiales. Su habilidad innata para lanzar hechizos es el carisma.","Garras. Ataque con arma cuerpo a cuerpo: +3 para golpear, alcance 5 pies, una criatura. Impacto: 3 (1d4 + 1) de daño cortante más 2 (1d4) de daño por fuego.

Aliento de Fuego (Recarga 6). El mephit exhala un cono de fuego de 15 pies. Cada criatura en esa área debe realizar una tirada de salvación de Destreza CD 11, recibiendo 7 (2d6) de daño por fuego si falla, o la mitad de daño si tiene éxito.","","","","","","","Infraoscuridad",""
"Magma Mephit","MM'25","207","Pequeño","Elemental","mal neutral","11","18 (4d6 + 4)","30 pies, volar 30 pies.","8","12","12","7","10","10","","Sigilo +3","frío","","fuego, veneno","agotamiento, envenenado","Visión en la oscuridad 60 pies, percepción pasiva 10","Primordial (Ignan, Terran)","1/2 (PX 100; PB +2)","Estallido de muerte. El mephit explota cuando muere. Tiro de Salvación de Destreza: CD 11, cada criatura en una Emanación de 5 pies originada en el mephit. Fallo: 7 (2d6) de daño por fuego. Éxito: Mitad de daño.","Garra. Tirada de ataque cuerpo a cuerpo: +3, alcance 5 pies. Impacto: 3 (1d4 + 1) de daño cortante más 3 (1d6) de daño de fuego.

Aliento de Fuego (Recarga 6). Tiro de Salvación de Destreza: CD 11, cada criatura en un Cono de 15 pies. Fallo: 7 (2d6) de daño por fuego. Éxito: Mitad de daño.","","","","","","","Planar (Planos elementales)",""
"magmin","MM'14","212","Pequeño","Elemental","neutral caótico","14 (armadura natural)","9 (2d6 + 2)","30 pies.","7","15","12","8","11","10","","","","contundente, perforante y cortante de ataques no mágicos","fuego","","Visión en la oscuridad 60 pies, percepción pasiva 10","Ignacio","1/2 (PX 100; PB +2)","Estallido de muerte. Cuando el magmin muere, explota en una explosión de fuego y magma. Cada criatura a 10 pies de él debe realizar una tirada de salvación de Destreza CD 11, recibiendo 7 (2d6) de daño por fuego si falla, o la mitad de daño si tiene éxito. Los objetos inflamables que no se usan o transportan en esa área se encienden.

Iluminación encendida. Como acción adicional, el magmin puede prenderse fuego o apagar sus llamas. Mientras está en llamas, el magmin arroja luz brillante en un radio de 10 pies y luz tenue en otros 10 pies.","Tocar. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 7 (2d6) de daño por fuego. Si el objetivo es una criatura o un objeto inflamable, se enciende. Hasta que una criatura realice una acción para apagar el fuego, el objetivo sufre 3 (1d6) de daño por fuego al final de cada uno de sus turnos.","","","","","","","",""
"magmin","MM'25","200","Pequeño","Elemental","neutral caótico","14","13 (3d6 + 3)","30 pies.","7","15","12","8","11","10","","","","","fuego","","Visión en la oscuridad 60 pies, percepción pasiva 10","Primordial (Ignan)","1/2 (PX 100; PB +2)","Estallido de muerte. El magmin explota cuando muere. Tiro de Salvación de Destreza: CD 11, cada criatura en una Emanación de 10 pies originada en el magmin. Fallo: 7 (2d6) de daño por fuego. Éxito: Mitad de daño.","Tocar. Tirada de ataque cuerpo a cuerpo: +4, alcance 5 pies. Impacto: 7 (2d4 + 2) de daño por fuego. Si el objetivo es una criatura o un objeto inflamable que no se usa ni se transporta, comienza a arder.","Iluminación encendida. El magmin se prende fuego o apaga sus llamas. Mientras está en llamas, el magmin arroja luz brillante en un radio de 10 pies y luz tenue en 10 pies adicionales.","","","","","","Planar (Plano Elemental de Fuego)",""
