"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Subclasses","Text","At Higher Levels"
"Disguise Self","PHB'14","233","1st","Action","1 hour","Illusion","Self","V, S","Artificer (TCE), Bard (PHB'14), Sorcerer (PHB'14), Wizard (PHB'14)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Gloom Stalker (XGE) Ranger, Illusionist (PHB'24) Wizard, Trickery (PHB'14) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You make yourself—including your clothing, armor, weapons, and other belongings on your person—look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you.

The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of someone who reaches out to touch you would bump into you while it was seemingly still in midair.

To discern that you are disguised, a creature can use its action to inspect your appearance and must succeed on an Intelligence (Investigation) check against your spell save DC.",""
"Disguise Self","PHB'24","262","1st","Action","1 hour","Illusion","Self","V, S","Artificer (EFA), Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Gloom Stalker (PHB'24) Ranger, Gloom Stalker (XGE) Ranger, Illusionist (PHB'24) Wizard, Trickery (PHB'24) Cleric, Trickery (PHB'14) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You make yourself—including your clothing, armor, weapons, and other belongings on your person—look different until the spell ends. You can seem 1 foot shorter or taller and can appear heavier or lighter. You must adopt a form that has the same basic arrangement of limbs as you have. Otherwise, the extent of the illusion is up to you.

The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing.

To discern that you are disguised, a creature must take the Study action to inspect your appearance and succeed on an Intelligence (Investigation) check against your spell save DC.",""
"Disintegrate","PHB'14","233","6th","Action","Instantaneous","Transmutation","60 feet","V, S, M (a lodestone and a pinch of dust)","Sorcerer (PHB'14), Wizard (PHB'14)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a creation of magical force, such as the wall created by wall of force.

A creature targeted by this spell must make a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 force damage. The target is disintegrated if this damage leaves it with 0 hit points.

A disintegrated creature and everything it is wearing and carrying, except magic items, are reduced to a pile of fine gray dust. The creature can be restored to life only by means of a true resurrection or a wish spell.

This spell automatically disintegrates a Large or smaller nonmagical object or a creation of magical force. If the target is a Huge or larger object or creation of force, this spell disintegrates a 10-foot-cube portion of it. A magic item is unaffected by this spell.","At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th."
"Disintegrate","PHB'24","263","6th","Action","Instantaneous","Transmutation","60 feet","V, S, M (a lodestone and dust)","Sorcerer (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You launch a green ray at a target you can see within range. The target can be a creature, a nonmagical object, or a creation of magical force, such as the wall created by Wall of Force.

A creature targeted by this spell makes a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 Force damage. If this damage reduces it to 0 Hit Points, it and everything nonmagical it is wearing and carrying are disintegrated into gray dust. The target can be revived only by a True Resurrection or a Wish spell.

This spell automatically disintegrates a Large or smaller nonmagical object or a creation of magical force. If such a target is Huge or larger, this spell disintegrates a 10-foot-Cube portion of it.","Using a Higher-Level Spell Slot. The damage increases by 3d6 for each spell slot level above 6."
"Dispel Evil and Good","PHB'14","233","5th","Action","Concentration, up to 1 minute","Abjuration","Self","V, S, M (holy water or powdered silver and iron)","Cleric (PHB'14), Paladin (PHB'14)","","Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","Shimmering energy surrounds and protects you from fey, undead, and creatures originating from beyond the Material Plane. For the duration, celestials, elementals, fey, fiends, and undead have disadvantage on attack rolls against you.

You can end the spell early by using either of the following special functions.

Break Enchantment. As your action, you touch a creature you can reach that is charmed, frightened, or possessed by a celestial, an elemental, a fey, a fiend, or an undead. The creature you touch is no longer charmed, frightened, or possessed by such creatures.

Dismissal. As your action, make a melee spell attack against a celestial, an elemental, a fey, a fiend, or an undead you can reach. On a hit, you attempt to drive the creature back to its home plane. The creature must succeed on a Charisma saving throw or be sent back to its home plane (if it isn't there already). If they aren't on their home plane, undead are sent to the Shadowfell, and fey are sent to the Feywild.",""
"Dispel Evil and Good","PHB'24","263","5th","Action","Concentration, up to 1 minute","Abjuration","Self","V, S, M (powdered silver and iron)","Cleric (PHB'24), Paladin (PHB'24)","","Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","For the duration, Celestials, Elementals, Fey, Fiends, and Undead have Disadvantage on attack rolls against you. You can end the spell early by using either of the following special functions.

Break Enchantment. As a Magic action, you touch a creature that is possessed by or has the Charmed or Frightened condition from one or more creatures of the types above. The target is no longer possessed, Charmed, or Frightened by such creatures.

Dismissal. As a Magic action, you target one creature you can see within 5 feet of you that has one of the creature types above. The target must succeed on a Charisma saving throw or be sent back to its home plane if it isn't there already. If they aren't on their home plane, Undead are sent to the Shadowfell, and Fey are sent to the Feywild.",""
"Dispel Magic","PHB'14","234","3rd","Action","Instantaneous","Abjuration","120 feet","V, S","Artificer (TCE), Bard (PHB'14), Cleric (PHB'14), Druid (PHB'14), Paladin (PHB'14), Sorcerer (PHB'14), Warlock (PHB'14), Wizard (PHB'14)","","Abjurer (PHB'24) Wizard, Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Fey Wanderer (TCE) Ranger, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, Devotion (PHB'14) Paladin, Trickery (PHB'14) Cleric","Choose one creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful check, the spell ends.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used."
"Dispel Magic","PHB'24","264","3rd","Action","Instantaneous","Abjuration","120 feet","V, S","Artificer (EFA), Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Abjurer (PHB'24) Wizard, Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Clockwork (PHB'24) Sorcerer, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Fey Wanderer (TCE) Ranger, Knowledge (FRHoF) Cleric, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, Devotion (PHB'24) Paladin, Devotion (PHB'14) Paladin, Spellfire (FRHoF) Sorcerer, Trickery (PHB'14) Cleric","Choose one creature, object, or magical effect within range. Any ongoing spell of level 3 or lower on the target ends. For each ongoing spell of level 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell's level). On a successful check, the spell ends.","Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell's level is equal to or less than the level of the spell slot you use."
"Dissonant Whispers","PHB'14","234","1st","Action","Instantaneous","Enchantment","60 feet","V","Bard (PHB'14)","","Aberrant Mind (TCE) Sorcerer, Great Old One (PHB'14) Warlock","You whisper a discordant melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a Wisdom saving throw. On a failed save, it takes 3d6 psychic damage and must immediately use its reaction, if available, to move as far as its speed allows away from you. The creature doesn't move into obviously dangerous ground, such as a fire or a pit. On a successful save, the target takes half as much damage and doesn't have to move away. A deafened creature automatically succeeds on the save.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st."
"Dissonant Whispers","PHB'24","264","1st","Action","Instantaneous","Enchantment","60 feet","V","Bard (PHB'24)","","Aberrant Mind (TCE) Sorcerer, Aberrant (PHB'24) Sorcerer, Great Old One (PHB'24) Warlock, Great Old One (PHB'14) Warlock","One creature of your choice that you can see within range hears a discordant melody in its mind. The target makes a Wisdom saving throw. On a failed save, it takes 3d6 Psychic damage and must immediately use its Reaction, if available, to move as far away from you as it can, using the safest route. On a successful save, the target takes half as much damage only.","Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
"Distort Value","AI","75","1st","1 Min.","8 hours","Illusion","Touch","V","Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard","Do you need to squeeze a few more gold pieces out of a merchant as you try to sell that weird octopus statue you liberated from the chaos temple? Do you need to downplay the worth of some magical assets when the tax collector stops by? Distort value has you covered.

You cast this spell on an object no more than 1 foot on a side, doubling the object's perceived value by adding illusory flourishes or polish to it, or reducing its perceived value by half with the help of illusory scratches, dents, and other unsightly features. Anyone examining the object can ascertain its true value with a successful Intelligence (Investigation) check against your spell save DC.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the maximum size of the object increases by 1 foot for each slot level above 1st."
"Divination","PHB'14","234","4th","Action","Instantaneous","Divination (ritual)","Self","V, S, M (incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes)","Cleric (PHB'14)","Druid (PHB'14), Wizard (PHB'14)","Arcane Trickster (PHB'14) Rogue, Arcane Trickster (PHB'24) Rogue, Land (Forest) (PHB'14) Druid, Land (Grassland) (PHB'14) Druid, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'14) Fighter, Eldritch Knight (PHB'24) Fighter","Your magic and an offering put you in contact with a god or a god's servants. You ask a single question concerning a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen.

The spell doesn't take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion.

If you cast the spell two or more times before finishing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret.",""
"Divination","PHB'24","264","4th","Action","Instantaneous","Divination (ritual)","Self","V, S, M (incense worth 25+ GP, which the spell consumes)","Cleric (PHB'24), Druid (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'14) Rogue, Arcane Trickster (PHB'24) Rogue, Land (Forest) (PHB'14) Druid, Land (Grassland) (PHB'14) Druid, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'14) Fighter, Eldritch Knight (PHB'24) Fighter","This spell puts you in contact with a god or a god's servants. You ask one question about a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply, which might be a short phrase or cryptic rhyme. The spell doesn't account for circumstances that might change the answer, such as the casting of other spells.

If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",""
"Divine Favor","PHB'14","234","1st","Bonus","Concentration, up to 1 minute","Evocation","Self","V, S","Paladin (PHB'14)","","War (PHB'14) Cleric, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra 1d4 radiant damage on a hit.",""
"Divine Favor","PHB'24","265","1st","Bonus","1 minute","Transmutation","Self","V, S","Paladin (PHB'24)","","War (PHB'14) Cleric, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","Until the spell ends, your attacks with weapons deal an extra 1d4 Radiant damage on a hit.",""
"Divine Smite","PHB'24","265","1st","Bonus","Instantaneous","Evocation","Self","V","Paladin (PHB'24)","","","The target takes an extra 2d8 Radiant damage from the attack. The damage increases by 1d8 if the target is a Fiend or an Undead.","Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1."
"Divine Word","PHB'14","234","7th","Bonus","Instantaneous","Evocation","30 feet","V","Cleric (PHB'14)","","Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","You utter a divine word, imbued with the power that shaped the world at the dawn of creation. Choose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw. On a failed save, a creature suffers an effect based on its current hit points:

50 hit points or fewer: deafened for 1 minute40 hit points or fewer: deafened and blinded for 10 minutes30 hit points or fewer: blinded, deafened, and stunned for 1 hour20 hit points or fewer: killed instantlyRegardless of its current hit points, a celestial, an elemental, a fey, or a fiend that fails its save is forced back to its plane of origin (if it isn't there already) and can't return to your current plane for 24 hours by any means short of a wish spell.",""
"Divine Word","PHB'24","265","7th","Bonus","Instantaneous","Evocation","30 feet","V","Cleric (PHB'24)","","Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","You utter a word imbued with power from the Upper Planes. Each creature of your choice in range makes a Charisma saving throw. On a failed save, a target that has 50 Hit Points or fewer suffers an effect based on its current Hit Points, as shown in the Divine Word Effects table. Regardless of its Hit Points, a Celestial, an Elemental, a Fey, or a Fiend target that fails its save is forced back to its plane of origin (if it isn't there already) and can't return to the current plane for 24 hours by any means short of a Wish spell.

Divine Word EffectsHit PointsEffect0-20The target dies.21-30The target has the Blinded, Deafened, and Stunned conditions for 1 hour.31-40The target has the Blinded and Deafened conditions for 10 minutes.41-50The target has the Deafened condition for 1 minute.",""
"Dominate Beast","PHB'14","234","4th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Druid (PHB'14), Sorcerer (PHB'14)","Ranger (PHB'14)","Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Conquest (XGE) Paladin, Conquest (XGE) Paladin, Archfey (PHB'14) Warlock, Great Old One (PHB'14) Warlock, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","You attempt to beguile a beast that you can see within range. It must succeed on a Wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.

While the beast is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as ""Attack that creature,"" ""Run over there,"" or ""Fetch that object."" If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability.

You can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well.

Each time the target takes damage, it makes a new Wisdom saving throw against the spell. If the saving throw succeeds, the spell ends.","At Higher Levels. When you cast this spell with a 5th-level spell slot, the duration is concentration, up to 10 minutes. When you use a 6th-level spell slot, the duration is concentration, up to 1 hour. When you use a spell slot of 7th level or higher, the duration is concentration, up to 8 hours."
"Dominate Beast","PHB'24","265","4th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24)","","Archfey (PHB'24) Warlock, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric, Conquest (XGE) Paladin, Conquest (XGE) Paladin, Archfey (PHB'14) Warlock, Great Old One (PHB'14) Warlock, Strength (PSA) (PSA) Cleric, Strength (PSA) (PSA) Cleric","One Beast you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.

You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.

You can command the target to take a Reaction but must take your own Reaction to do so.","Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours)."
"Dominate Monster","PHB'14","235","8th","Action","Concentration, up to 1 hour","Enchantment","60 feet","V, S","Bard (PHB'14), Sorcerer (PHB'14), Warlock (PHB'14), Wizard (PHB'14)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You attempt to beguile a creature that you can see within range. It must succeed on a Wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.

While the creature is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as ""Attack that creature,"" ""Run over there,"" or ""Fetch that object."" If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability.

You can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well.

Each time the target takes damage, it makes a new Wisdom saving throw against the spell. If the saving throw succeeds, the spell ends.","At Higher Levels. When you cast this spell with a 9th-level spell slot, the duration is concentration, up to 8 hours."
"Dominate Monster","PHB'24","265","8th","Action","Concentration, up to 1 hour","Enchantment","60 feet","V, S","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","One creature you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.

You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.

You can command the target to take a Reaction but must take your own Reaction to do so.","Using a Higher-Level Spell Slot. Your Concentration can last longer with a level 9 spell slot (up to 8 hours)."
"Dominate Person","PHB'14","235","5th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Bard (PHB'14), Sorcerer (PHB'14), Wizard (PHB'14)","","Conquest (XGE) Paladin, Conquest (XGE) Paladin, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Order (TCE) Cleric, Order (TCE) Cleric, Archfey (PHB'14) Warlock, Great Old One (PHB'14) Warlock, Trickery (PHB'14) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You attempt to beguile a humanoid that you can see within range. It must succeed on a Wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.

While the target is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as ""Attack that creature,"" ""Run over there,"" or ""Fetch that object."" If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability.

You can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time you can also cause the creature to use a reaction, but this requires you to use your own reaction as well.

Each time the target takes damage, it makes a new Wisdom saving throw against the spell. If the saving throw succeeds, the spell ends.","At Higher Levels. When you cast this spell using a 6th-level spell slot, the duration is concentration, up to 10 minutes. When you use a 7th-level spell slot, the duration is concentration, up to 1 hour. When you use a spell slot of 8th level or higher, the duration is concentration, up to 8 hours."
"Dominate Person","PHB'24","266","5th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)","","Archfey (PHB'24) Warlock, Conquest (XGE) Paladin, Conquest (XGE) Paladin, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Order (TCE) Cleric, Order (TCE) Cleric, Archfey (PHB'14) Warlock, Great Old One (PHB'14) Warlock, Trickery (PHB'14) Cleric, Trickery (PHB'24) Cleric, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","One Humanoid you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.

You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.

You can command the target to take a Reaction but must take your own Reaction to do so.","Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 6 (up to 10 minutes), 7 (up to 1 hour), or 8+ (up to 8 hours)."
"Doomtide","FRHoF","144","4th","Action","Concentration, up to 1 minute","Conjuration","120 feet","V, S, M (soot and a dried eel)","Bard (PHB'24), Cleric (PHB'24), Warlock (PHB'24)","","Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","You create a 20-foot-radius Sphere of inky fog within range. The fog is magical Darkness and lasts for the duration or until a strong wind (such as the one created by the Gust of Wind spell) disperses it, ending the spell.

Each creature in the Sphere when it appears makes a Wisdom saving throw. On a failed save, a creature takes 5d6 Psychic damage and subtracts 1d6 from its saving throws until the end of its next turn. On a successful save, a creature takes half as much damage only. A creature also makes this save when the Sphere moves into its space, when it enters the Sphere, or when it ends its turn inside the Sphere. A creature makes this save only once per turn.

The Sphere moves 10 feet away from you at the start of each of your turns.

Casting as a Circle Spell. Casting this as a Circle spell requires a minimum of five secondary casters. In addition to the spell's usual components, you must provide a special component (a string of three black pearls from Pandemonium), which the spell consumes. The spell's range increases to 1 mile, and its duration increases to until dispelled (no Concentration required). The spell ends early if any caster who participated in this casting contributes to another casting of Doomtide as a Circle spell.

When the spell is cast, each secondary caster must expend a level 3+ spell slot; otherwise, the spell fails.",""
"Draconic Transformation","FTD","19","7th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V, S, M (a statuette of a dragon, worth at least 500 gp)","","Druid (PHB'14), Druid (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","With a roar, you draw on the magic of dragons to transform yourself, taking on draconic features. You gain the following benefits until the spell ends:

Blindsight. You have blindsight with a range of 30 feet. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. Moreover, you can see an invisible creature, unless the creature successfully hides from you.

Breath Weapon. When you cast this spell, and as a bonus action on subsequent turns for the duration, you can exhale shimmering energy in a 60-foot cone. Each creature in that area must make a Dexterity saving throw, taking 6d8 force damage on a failed save, or half as much damage on a successful one.

Wings. Incorporeal wings sprout from your back, giving you a flying speed of 60 feet.",""
"Dragon's Breath","XGE","154","2nd","Bonus","Concentration, up to 1 minute","Transmutation","Touch","V, S, M (a hot pepper)","","Sorcerer (PHB'14), Wizard (PHB'14)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch one willing creature and imbue it with the power to spew magical energy from its mouth, provided it has one. Choose acid, cold, fire, lightning, or poison. Until the spell ends, the creature can use an action to exhale energy of the chosen type in a 15-foot cone. Each creature in that area must make a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save, or half as much damage on a successful one.","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd."
"Dragon's Breath","PHB'24","266","2nd","Bonus","Concentration, up to 1 minute","Transmutation","Touch","V, S, M (a hot pepper)","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)","","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Draconic (PHB'24) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You touch one willing creature, and choose Acid, Cold, Fire, Lightning, or Poison. Until the spell ends, the target can take a Magic action to exhale a 15-foot Cone. Each creature in that area makes a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save or half as much damage on a successful one.","Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2."
"Drawmij's Instant Summons","PHB'14","235","6th","1 Min.","Until dispelled","Conjuration (ritual)","Touch","V, S, M (a sapphire worth 1,000 gp)","Wizard (PHB'14)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You touch an object weighing 10 pounds or less whose longest dimension is 6 feet or less. The spell leaves an invisible mark on its surface and invisibly inscribes the name of the item on the sapphire you use as the material component. Each time you cast this spell, you must use a different sapphire.

At any time thereafter, you can use your action to speak the item's name and crush the sapphire. The item instantly appears in your hand regardless of physical or planar distances, and the spell ends.

If another creature is holding or carrying the item, crushing the sapphire doesn't transport the item to you, but instead you learn who the creature possessing the object is and roughly where that creature is located at that moment.

Dispel magic or a similar effect successfully applied to the sapphire ends this spell's effect.",""
"Drawmij's Instant Summons","PHB'24","266","6th","1 Min.","Until dispelled","Conjuration (ritual)","Touch","V, S, M (a sapphire worth 1,000+ GP)","Wizard (PHB'24)","","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You touch the sapphire used in the casting and an object weighing 10 pounds or less whose longest dimension is 6 feet or less. The spell leaves an Invisible mark on that object and invisibly inscribes the object's name on the sapphire. Each time you cast this spell, you must use a different sapphire.

Thereafter, you can take a Magic action to speak the object's name and crush the sapphire. The object instantly appears in your hand regardless of physical or planar distances, and the spell ends.

If another creature is holding or carrying the object, crushing the sapphire doesn't transport it, but instead you learn who that creature is and where that creature is currently located.",""
