"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Dragonborn of Sardior","FTD","185","Medium","Humanoid","neutral","17 (mental defense)","75 (10d8 + 30)","30 ft., Fly 30 ft. (hover)","14","16","17","18","14","12","Con +6, Int +7, Wis +5, Cha +4","Arcana +7, History +7, Perception +5","","psychic","","frightened","passive Perception 15","Common, Draconic","6 (XP 2.300; PB +3)","Legendary Resistance (1/Day). If the dragonborn fails a saving throw, it can choose to succeed instead.

Mental Defense. While the dragonborn is wearing no armor, its AC includes its Intelligence modifier.","Multiattack. The dragonborn makes three Mind Blade attacks.

Mind Blade. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d4 + 4) piercing damage plus 10 (3d6) psychic damage.

Heat Breath (Recharge 6). The dragonborn exhales a wave of intense heat in a 30-foot cone. Each creature in that area must make a DC 14 Constitution saving throw, taking 27 (6d8) fire damage on a failed save, or half as much damage on a successful one. Metal objects in that area glow red-hot until the end of the dragonborn's next turn. Any creature in physical contact with a heated object at the start of its turn must make a DC 14 Constitution saving throw. On a failed save, the creature takes 9 (2d8) fire damage and has disadvantage on attack rolls until the start of its next turn.

Spellcasting (Psionics). The dragonborn casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 15, +7 to hit with spell attacks):

1/day each: Bigby's hand, hypnotic pattern, telekinesis","","","","","","","",""
"Dragonborn of Tiamat","FTD","185","Medium","Humanoid","chaotic evil","18 (plate)","85 (10d8 + 40)","30 ft.","20","11","18","10","12","16","Str +8, Con +7, Wis +4, Cha +6","Athletics +8, Intimidation +6, Perception +4","","","","frightened","passive Perception 14","Common, Draconic","7 (XP 2.900; PB +3)","Legendary Resistance (1/Day). If the dragonborn fails a saving throw, it can choose to succeed instead.","Multiattack. The dragonborn makes two Greataxe attacks.

Greataxe. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 11 (1d12 + 5) slashing damage plus 13 (3d8) necrotic damage.

Necrotic Breath (Recharge 6). The dragonborn exhales shadowy fire in a 30-foot cone. Each creature in that area must make a DC 15 Wisdom saving throw. On a failed save, the creature takes 36 (8d8) necrotic damage and is frightened of the dragonborn for 1 minute. On a successful save, the creature takes half as much damage and isn't frightened. A frightened creature can repeat the saving throw at end of each of its turns, ending the effect on itself on a success.","","","","","","","",""
"Dragonclaw","HotDQ","89","Medium","Humanoid (Human)","lawful evil","14 (leather armor)","16 (3d8 + 3)","30 ft.","9","16","13","11","10","12","Wis +2","Deception +3, Stealth +5","","","","","passive Perception 10","Common, Draconic","1 (XP 200; PB +2)","Dragon Fanatic. The dragonclaw has advantage on saving throws against being charmed or frightened. While the dragonclaw can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonclaw ignores the effects of being charmed or frightened.

Fanatic Advantage. Once per turn, if the dragonclaw makes a weapon attack with advantage on the attack roll and hits, it deals an extra 7 (2d6) damage.

Pack Tactics. The dragonclaw has advantage on an attack roll against a creature if at least one of the dragonclaw's allies is within 5 feet of the creature and the ally isn't incapacitated.","Multiattack. The dragonclaw attacks twice with its scimitar.

Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","","","","","","","",""
"Dragonfang","RoT","89","Medium","Humanoid (Human)","neutral evil","15 (studded leather)","78 (12d8 + 24)","30 ft.","11","16","14","12","12","14","Wis +4","Deception +5, Stealth +6","","one of the following: acid, cold, fire, lightning, and poison","","","passive Perception 11","Common, Draconic, Infernal","5 (XP 1.800; PB +3)","Dragon Fanatic. The dragonfang has advantage on saving throws against being charmed or frightened. While the dragonfang can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonfang ignores the effects of being charmed or frightened.

Fanatic Advantage. Once per turn, if the dragonfang makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 10 (3d6) damage.

Limited Flight. The dragonfang can use a bonus action to gain a flying speed of 30 feet until the end of its turn.

Pack Tactics. The dragonfang has advantage on an attack roll against a creature if at least one of the dragonfang's allies is within 5 feet of the creature and the ally isn't incapacitated.","Multiattack. The Dragonfang attacks twice with its shortsword.

Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 7 (2d6) damage of the type to which the dragonfang has resistance.

Orb of Dragon's Breath (2/Day). Ranged Spell Attack: +5 to hit, range 50 ft., one target. Hit: 22 (5d8) damage of the type to which the dragonfang has damage resistance.","","","","","","","",""
"Dragonflesh Abomination","FTD","187","Huge","Monstrosity","neutral evil","15 (natural armor)","66 (7d12 + 21)","30 ft., Fly 40 ft.","18","14","17","5","12","6","Str +7, Con +6","","","","","charmed, frightened, poisoned","passive Perception 11","Understands Common and Draconic but can't speak","6 (XP 2.300; PB +3)","Cloying Miasma. The abomination is surrounded by a noxious stench. At the start of the abomination's turn, any creature within 5 feet of it must succeed on a DC 14 Constitution saving throw or be poisoned until the start of the abomination's next turn.

Regeneration. The abomination regains 10 hit points at the start of its turns if it has at least 1 hit point.","Multiattack. The abomination makes three attacks using Claw, Acidic Spit, or a combination of them. It can replace one of the attacks with a Tail attack.

Claw. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 8 (1d8 + 4) slashing damage plus 5 (1d10) poison damage.

Tail. Melee Weapon Attack: +7 to hit, reach 15 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.

Acidic Spit. Ranged Weapon Attack: +5 to hit, range 60 ft., one target. Hit: 10 (3d6) acid damage.

Acid Belch (Recharge 5–6). The abomination belches forth a cloud of acidic gas in a 30-foot cone. Each creature in that area must make a DC 14 Constitution saving throw, taking 28 (8d6) acid damage on a failed save, or half as much damage on a successful one.","","","","","","","",""
"Dragonflesh Grafter","FTD","186","Large","Monstrosity","neutral evil","14 (natural armor)","52 (7d10 + 14)","30 ft.","16","11","14","10","10","6","Str +5, Con +4","","","","","","passive Perception 10","Common, Draconic","3 (XP 700; PB +2)","","Multiattack. The grafter makes one Claw attack and one Greatclub attack.

Claw. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 7 (1d8 + 3) slashing damage plus 5 (1d10) poison damage.

Greatclub. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 12 (2d8 + 3) bludgeoning damage.

Acid Retch (Recharge 5–6). The grafter retches forth a spray of acidic bile in a 30-foot cone. Each creature in that area must make a DC 12 Dexterity saving throw, taking 14 (4d6) acid damage on a failed save, or half as much damage on a successful one.","","","","","","","",""
"Dragonnel","FTD","190","Large","Dragon","neutral","13 (natural armor)","58 (9d10 + 9)","30 ft., Fly 60 ft.","16","15","12","8","13","10","","Perception +3","","","","","Blindsight 30 ft., Darkvision 120 ft., passive Perception 13","Understands Draconic and Common but can't speak","2 (XP 450; PB +2)","Flyby. The dragonnel doesn't provoke an opportunity attack when it flies out of an enemy's reach.","Multiattack. The dragonnel makes two Rend attacks.

Rend. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.","","","","","","","",""
"Dragonsoul","RoT","89","Medium","Humanoid (Human)","neutral evil","16 (studded leather)","110 (17d8 + 34)","30 ft.","11","18","14","13","12","16","Wis +4","Deception +6, Stealth +7","","one of the following: acid, cold, fire, lightning, and poison","","","passive Perception 11","Common, Draconic, Infernal","7 (XP 2.900; PB +3)","Dragon Fanatic. The dragonsoul has advantage on saving throws against being charmed or frightened. While the dragonsoul can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonsoul ignores the effects of being charmed or frightened.

Fanatic Advantage. Once per turn, if the dragonsoul makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 10 (3d6) damage.

Limited Flight. The dragonsoul can use a bonus action to gain a flying speed of 30 feet until the end of its turn.

Pack Tactics. The dragonsoul has advantage on an attack roll against a creature if at least one of the dragonsoul's allies is within 5 feet of the creature and the ally isn't incapacitated.","Multiattack. The Dragonsoul attacks twice with its shortsword.

Shortsword. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 10 (3d6) damage of the type to which the dragonsoul has resistance.

Orb of Dragon's Breath (3/Day). Ranged Spell Attack: +7 to hit, range 90 ft., one target. Hit: 27 (6d8) damage of the type to which the dragonsoul has damage resistance.","","","","","","","",""
"Dragonwing","HotDQ","90","Medium","Humanoid (Human)","lawful evil","14 (leather armor)","33 (6d8 + 6)","30 ft.","11","16","13","11","11","13","Wis +2","Deception +3, Stealth +5","","one of the following: acid, cold, fire, lightning, and poison","","","passive Perception 10","Common, Draconic","2 (XP 450; PB +2)","Dragon Fanatic. The dragonwing has advantage on saving throws against being charmed or frightened. While the dragonwing can see a dragon or higher-ranking Cult of the Dragon cultist friendly to it, the dragonwing ignores the effects of being charmed or frightened.

Fanatic Advantage. Once per turn, if the dragonwing makes a weapon attack with advantage on the attack roll and hits, the target takes an extra 7 (2d6) damage.

Limited Flight. The dragonwing can use a bonus action to gain a flying speed of 30 feet until the end of its turn.

Pack Tactics. The dragonwing has advantage on an attack roll against a creature if at least one of the dragonwing's allies is within 5 feet of the creature and the ally isn't incapacitated.","Multiattack. The dragonwing attacks twice with its scimitar.

Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage plus 3 (1d6) damage of the type to which the cultist has resistance.","","","","","","","",""
"Drake Companion","FTD","15","Small","Dragon","","14 + PB (natural armor)","5 + five times your ranger level (the drake has a number of Hit Dice [d10s] equal to your ranger level)","40 ft.","16","12","15","8","14","8","Dex +1 + PB, Wis +2 + PB","","","","determined by the drake's draconic essence trait","","Darkvision 60 ft., passive Perception 12","Draconic","None (XP 0; PB equals your bonus)","Draconic Essence. When you summon the drake, choose a damage type: acid, cold, fire, lightning, or poison. The chosen type determines the drake's damage immunity and the damage of its Infused Strikes trait.","Bite. Melee Weapon Attack: +3 plus PB to hit, reach 5 ft., one target. Hit: 1d6 plus PB piercing damage.","","Infused Strikes. When another creature within 30 feet of the drake that it can see hits a target with a weapon attack, the drake infuses the strike with its essence, causing the target to take an extra 1d6 damage of the type determined by its Draconic Essence.","","","","","",""
"Dread Warrior","TftYP","233","Medium","Undead","neutral evil","18 (chain mail, shield)","37 (5d8 + 15)","30 ft.","15","11","16","10","12","10","Wis +3","Athletics +4, Perception +3","","","poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 13","Common","1 (XP 200; PB +2)","Undead Fortitude. If damage reduces the dread warrior to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the dread warrior drops to 1 hit point instead.","Multiattack. The dread warrior makes two melee attacks.

Battleaxe. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage, or 7 (1d10 + 2) slashing damage if wielded with two hands.

Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","","","","","","","",""
"Dreaming Dark Infiltrator","EFA","59","Small or Medium","Humanoid","lawful evil","15","104 (16d8 + 32)","30 ft.","14","17","15","18","16","17","Int +7, Wis +6, Cha +6","Deception +6, Insight +6, Stealth +6","","psychic","","","Truesight 30 ft., passive Perception 13","Common, Quori; telepathy 120 ft.","7 (XP 2.900; PB +3)","","Multiattack. The infiltrator makes three Mind Blade attacks.

Mind Blade. Melee or Ranged Attack Roll: +7, reach 5 ft. or range 30 ft. Hit: 14 (3d6 + 4) Psychic damage.

Spellcasting. The infiltrator casts one of the following spells, requiring no Material components and using Intelligence as the spellcasting ability (spell save DC 15):

3/day: Detect Thoughts

1/day: Synaptic Static","Mind Curse. Wisdom Saving Throw: DC 15, one creature hit by the infiltrator's Mind Blade attack this turn. Failure: The target takes 14 (4d6) Psychic damage and is cursed. While cursed in this way, it has Disadvantage on attack rolls against the infiltrator, and the infiltrator always knows its location while it and the infiltrator are on the same plane of existence. A cursed creature repeats the save whenever it finishes a Short or Long Rest, ending the effect on itself on a success. Success: Half damage only.","","","","","","",""
"Dreaming Dark Mindkiller","EFA","60","Small or Medium","Humanoid","lawful evil","19","180 (24d8 + 72)","30 ft.","15","19","16","21","18","17","Dex +8, Int +9, Wis +8, Cha +7","Deception +7, Insight +8, Perception +8, Stealth +8","","psychic","","charmed, frightened","Truesight 30 ft., passive Perception 18","Common, Quori; telepathy 120 ft.","11 (XP 7.200; PB +4)","","Multiattack. The mindkiller makes two Nightmare Whisper attacks.

Nightmare Whisper. Melee or Ranged Attack Roll: +9, reach 5 ft. or range 30 ft. Hit: 27 (5d8 + 5) Psychic damage, and the target has the Frightened condition until the start of the mindkiller's next turn. If the target is already Frightened, it instead takes an extra 10 (3d6) Psychic damage.

Primal Fear (1/Day). Wisdom Saving Throw: DC 17, each creature in a 30-foot-radius Sphere centered on a point the mindkiller can see within 120 feet. Failure: 35 (10d6) Psychic damage, and the target has the Frightened condition until the start of the mindkiller's next turn. While Frightened in this way, the target can do only one of the following on each of its turns: move, take an action, or take a Bonus Action. Success: Half damage only.","Slayer's Puppet (1/Day). The mindkiller casts Dominate Person, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17).","","","","","","",""
"Dretch","MM'25","103","Small","Fiend (Demon)","chaotic evil","11","18 (4d6 + 4)","20 ft.","12","11","12","5","8","3","","","","cold, fire, lightning","poison","poisoned","Darkvision 60 ft., passive Perception 9","Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal)","1/4 (XP 50; PB +2)","","Rend. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1) Slashing damage.

Fetid Cloud (1/Day). Constitution Saving Throw: DC 11, each creature in a 10-foot Emanation originating from the dretch. Failure: The target has the Poisoned condition until the end of its next turn. While Poisoned, the creature can take either an action or a Bonus Action on its turn, not both, and it can't take Reactions.","","","","","","","Planar (Abyss)",""
"Drider","MM'25","105","Large","Monstrosity","chaotic evil","19","123 (13d10 + 52)","30 ft., Climb 30 ft.","16","19","18","13","16","12","","Perception +6, Stealth +10","","","","","Darkvision 120 ft., passive Perception 16","Elvish, Undercommon","6 (XP 2.300; PB +3)","Spider Climb. The drider can climb difficult surfaces, including along ceilings, without needing to make an ability check.

Sunlight Sensitivity. While in sunlight, the drider has Disadvantage on ability checks and attack rolls.

Web Walker. The drider ignores movement restrictions caused by webs, and the drider knows the location of any other creature in contact with the same web.","Multiattack. The drider makes three attacks, using Foreleg or Poison Burst in any combination.

Foreleg. Melee Attack Roll: +7, reach 10 ft. Hit: 13 (2d8 + 4) Piercing damage.

Poison Burst. Ranged Attack Roll: +6, range 120 ft. Hit: 13 (3d6 + 3) Poison damage.","Magic of the Spider Queen (Recharge 5–6). The drider casts Darkness, Faerie Fire, or Web, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 14).","","","","","","Forest, Underdark","Armaments"
"Drow Acolyte","OotA","201","Medium","Humanoid (Elf)","neutral evil","10","9 (2d8)","30 ft.","10","10","10","10","14","11","","Medicine +4, Perception +4, Religion +2","","","","","Darkvision 120 ft., passive Perception 12","Any one language (usually Common), Elvish, Undercommon","1/4 (XP 50; PB +2)","Fey Ancestry. The drow acolyte has advantage on saving throws against being charmed, and magic can't put the drow acolyte to sleep.

Innate Spellcasting. The drow acolyte's innate spellcasting ability is Charisma (spell save DC 10). The drow acolyte can innately cast the following spells, requiring no material components:

At will: dancing lights

1/day each: darkness, faerie fire, levitate (self only)

Spellcasting. The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:

Cantrips (at will): light, sacred flame, thaumaturgy

1st level (3 slots): bless, cure wounds, sanctuary

Sunlight Sensitivity. While in sunlight, the drow acolyte has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.","","","","","","","",""
"Drow Arachnomancer","MPMM","99","Medium","Humanoid (Elf)","chaotic evil","15 (studded leather)","162 (25d8 + 50)","30 ft., Climb 30 ft.","11","17","14","19","14","16","Con +7, Int +9, Cha +8","Arcana +9, Nature +9, Perception +7, Stealth +8","","poison","","","Blindsight 10 ft., Darkvision 120 ft., passive Perception 17","Elvish, Undercommon, can speak with spiders","13 (XP 10.000; PB +5)","Fey Ancestry. The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.

Spider Climb. The drow can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.

Sunlight Sensitivity. While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.

Web Walker. The drow ignores movement restrictions caused by webbing.","Multiattack. The drow makes three attacks, using Bite, Poisonous Touch, Web, or a combination of them. One attack can be replaced by a use of Spellcasting.

Bite (Spider Form Only). Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 31 (7d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.

Poisonous Touch (Humanoid Form Only). Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 35 (10d6) poison damage.

Spellcasting. The drow casts one of the following spells, requiring no material components and using Intelligence as the spellcasting ability (spell save DC 17):

At will: dancing lights, mage hand

1/day each: darkness, dispel magic, etherealness, faerie fire, fly, insect plague, invisibility

Web (Spider Form Only; (Recharge 5–6)). Ranged Weapon Attack: +8 to hit, range 30/60 ft., one target. Hit: The target is restrained by webbing. As an action, the restrained target can make a DC 15 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).","Change Shape (Recharges after a Short or Long Rest). The drow magically transforms into a Large spider, remaining in that form for up to 1 hour, or back into its true form. Its statistics, other than its size, are the same in each form. It can speak and cast spells while in spider form. Any equipment it is wearing or carrying in Humanoid form melds into the spider form. It can't activate, use, wield, or otherwise benefit from any of its equipment. It reverts to its Humanoid form if it dies.","","","","","","Underdark",""
"Drow Assassin","OotA","140","Medium","Humanoid (Elf)","neutral evil","15 (studded leather)","78 (12d8 + 24)","30 ft.","11","16","14","13","11","10","Dex +6, Int +4","Acrobatics +6, Deception +3, Perception +3, Stealth +9","","poison","","","Darkvision 120 ft., passive Perception 13","Thieves' cant plus any two languages, Elvish, Undercommon","8 (XP 3.900; PB +3)","Assassinate. During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit.

Evasion. If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.

Fey Ancestry. The drow assassin has advantage on saving throws against being charmed, and magic can't put the drow assassin to sleep.

Innate Spellcasting. The drow assassin's innate spellcasting ability is Charisma (spell save DC 11). The drow assassin can innately cast the following spells, requiring no material components:

At will: dancing lights

1/day each: darkness, faerie fire, levitate (self only)

Sneak Attack (1/Turn). The assassin deals an extra 14 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.

Sunlight Sensitivity. While in sunlight, the drow assassin has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Multiattack. The assassin makes two shortsword attacks.

Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.

Light Crossbow. Ranged Weapon Attack: +6 to hit, range 80/320 ft., one target. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","",""
"Drow Bandit","OotA","194","Medium","Humanoid (Elf)","neutral evil","12 (leather armor)","11 (2d8 + 2)","30 ft.","11","12","12","10","10","10","","Perception +2","","","","","Darkvision 120 ft., passive Perception 10","Any one language (usually Common), Elvish, Undercommon","1/8 (XP 25; PB +2)","Fey Ancestry. The drow bandit has advantage on saving throws against being charmed, and magic can't put the drow bandit to sleep.

Innate Spellcasting. The drow bandit's innate spellcasting ability is Charisma (spell save DC 10). The drow bandit can innately cast the following spells, requiring no material components:

At will: dancing lights

1/day each: darkness, faerie fire, levitate (self only)

Sunlight Sensitivity. While in sunlight, the drow bandit has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage.

Light Crossbow. Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 5 (1d8 + 1) piercing damage.","","","","","","","",""
"Drow Commander","TftYP","209","Medium","Humanoid (Elf)","neutral evil","18 (studded leather, shield)","110 (11d8 + 22)","30 ft.","13","18","14","11","13","12","Dex +7, Con +5, Wis +4","Perception +4, Stealth +10","","","","","Darkvision 120 ft., passive Perception 14","Elvish, Undercommon","5 (XP 1.800; PB +3)","Special Equipment. The drow carries three magical bolts, as follows:

A bolt of holding, which casts hold person on a target hit with the bolt, as well as up to two other targets within 30 feet of that targetA bolt of blinding, which casts blindness/deafness to blind on a target hit with the bolt, as well as up to two other targets within 30 feet of that targetA bolt of vapors, which casts stinking cloud centered on the point it hitsEach of these effects has a spell save DC of 15 and a duration of 1 minute.

Fey Ancestry. The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.

Innate Spellcasting. The drow's spellcasting ability is Charisma (spell save DC 12). It can innately cast the following spells, requiring no material components:

At will: dancing lights

1/day each: darkness, faerie fire, levitate (self only)

Sunlight Sensitivity. While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Multiattack. The drow makes two shortsword attacks.

Shortsword +2. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 9 (1d6 + 6) piercing damage plus 10 (3d6) poison damage.

Hand Crossbow +1. Ranged Weapon Attack: +8 to hit, range 30/120 ft., one target. Hit: 8 (1d6 + 5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 hour. If the saving throw fails by 5 or more, the target is also unconscious while poisoned in this way. The target wakes up if it takes damage or if another creature takes an action to shake it awake.","","Parry. The drow adds 3 to its AC against one melee attack that would hit it. To do so, the drow must see the attacker and be wielding a melee weapon.","","","","","",""
"Drow Commoner","OotA","194","Medium","Humanoid (Elf)","neutral evil","10","4 (1d8)","30 ft.","10","10","10","10","10","10","","Perception +2","","","","","Darkvision 120 ft., passive Perception 10","Any one language (usually Common), Elvish, Undercommon","0 (XP 10; PB +2)","Fey Ancestry. The drow commoner has advantage on saving throws against being charmed, and magic can't put the drow commoner to sleep.

Innate Spellcasting. The drow commoner's innate spellcasting ability is Charisma (spell save DC 10). The drow commoner can innately cast the following spells, requiring no material components:

At will: dancing lights

1/day each: darkness, faerie fire, levitate (self only)

Sunlight Sensitivity. While in sunlight, the drow commoner has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.","","","","","","","",""
"Drow Cultist","OotA","196","Medium","Humanoid (Elf)","neutral evil","12 (leather armor)","9 (2d8)","30 ft.","11","12","10","10","11","10","","Deception +2, Perception +2, Religion +2","","","","","Darkvision 120 ft., passive Perception 10","Any one language (usually Common), Elvish, Undercommon","1/8 (XP 25; PB +2)","Dark Devotion. The cultist has advantage on saving throws against being charmed or frightened.

Fey Ancestry. The drow cultist has advantage on saving throws against being charmed, and magic can't put the drow cultist to sleep.

Innate Spellcasting. The drow cultist's innate spellcasting ability is Charisma (spell save DC 10). The drow cultist can innately cast the following spells, requiring no material components:

At will: dancing lights

1/day each: darkness, faerie fire, levitate (self only)

Sunlight Sensitivity. While in sunlight, the drow cultist has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) slashing damage.","","","","","","","",""
"Drow Elite Warrior of Lolth","FRAiF","260","Medium","Humanoid (Elf)","chaotic evil","18","71 (11d8 + 22)","30 ft.","13","18","14","11","13","12","Dex +7, Con +5, Wis +4","Perception +4, Stealth +10","","","","","Darkvision 120 ft., passive Perception 14","Common, Elvish, Undercommon","5 (XP 1.800; PB +3)","Fey Ancestry. The drow has Advantage on saving throws it makes to avoid or end the Charmed condition, and magic can't put the drow to sleep.

Sunlight Sensitivity. While in sunlight, the drow has Disadvantage on attack rolls.","Multiattack. The drow makes two attacks using Shortsword or Drow Hand Crossbow in any combination

Shortsword. Melee Attack Roll: +7, reach 5 ft. Hit: 11 (2d6 + 4) Piercing damage plus 10 (3d6) Poison damage.

Drow Hand Crossbow. Ranged Attack Roll: +7, range 30/120 ft. Hit: 7 (1d6 + 4) Piercing damage, and the target makes a saving throw. Constitution Saving Throw: DC 15. Failure: The target has the Poisoned condition for 1 hour. While Poisoned in this way, the target also has the Unconscious condition. The target wakes up if it takes damage or if a creature within 5 feet of it takes an action to wake it.","Underdark Magic (3/Day). The drow casts Darkness, Faerie Fire, or Levitate (self only), requiring no Material components and using Charisma as the spellcasting ability (spell save DC 12).","","","","","","Underdark, Urban","Any"
"Drow Favored Consort","MPMM","100","Medium","Humanoid (Elf, Wizard)","any alignment","15","240 (32d8 + 96)","30 ft.","15","20","16","18","15","18","Dex +11, Con +9, Cha +10","Acrobatics +11, Athletics +8, Perception +8, Stealth +11","","","","","Darkvision 120 ft., passive Perception 18","Elvish, Undercommon","18 (XP 20.000; PB +6)","Fey Ancestry. The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.

Sunlight Sensitivity. While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Multiattack. The drow makes three Scimitar or Arcane Eruption attacks. The drow can replace one of the attacks with a use of Spellcasting.

Scimitar. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 8 (1d6 + 5) slashing damage plus 27 (6d8) poison damage.

Arcane Eruption. Ranged Spell Attack: +10 to hit, range 120 ft., one target. Hit: 36 (8d8) force damage, and the drow can push the target up to 10 feet away if it is a Large or smaller creature.

Spellcasting. The drow casts one of the following spells, requiring no material components and using Intelligence as the spellcasting ability (spell save DC 18):

At will: dancing lights, mage armor, mage hand, message

3/day each: dimension door, fireball, invisibility

1/day each: darkness, faerie fire, levitate (self only)","","Protective Shield (3/Day). When the drow or a creature within 10 feet of it is hit by an attack roll, the drow gives the target a +5 bonus to its AC until the start of the drow's next turn, which can cause the triggering attack roll to miss.","","","","","Underdark",""
