Name,Source,Page,Level,Casting Time,Duration,School,Range,Components,Classes,Optional/Variant Classes,Subclasses,Text,At Higher Levels
Alter Self,PHB'14,211,2nd,accion,"Concentration, up to 1 hour",transmutacion,personal,"V, S","Artificer (TCE), Sorcerer (PHB'14), Wizard (PHB'14)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Moon (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer","You assume a different form. When you cast the spell, choose one of the following options, the effects of which last for the Duracion of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one.

Aquatic Adaptation. You adapt your body to an aquatic environment, sprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed.

Change Appearance. You transform your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing characteristics, if any. You can make yourself appear as a member of another race, though none of your statistics change. You also can't appear as a creature of a different size than you, and your basic shape stays the same; if you're bipedal, you can't use this spell to become quadrupedal, for instance. At any time for the Duracion of the spell, you can use your action to change your appearance in this way again.

Natural Weapons. You grow claws, fangs, spines, horns, or a different natural arma of your choice. Your unarmed strikes deal 1d6 bludgeoning, piercing, or slashing dano, as appropriate to the natural arma you chose, and you are proficient with your unarmed strikes. Finally, the natural arma is magic and you have a +1 bonus to the attack and dano rolls you make using it.",
Alter Self,PHB'24,239,2nd,accion,"Concentration, up to 1 hour",transmutacion,personal,"V, S","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Moon (PHB'14) Druid, Lore (PHB'24) Bard, Draconico (PHB'24) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer","You alter your physical form. Choose one of the following options. Its effects last for the Duracion, during which you can take a Magic action to replace the option you chose with a different one.

Aquatic Adaptation. You sprout gills and grow webs between your fingers. You can breathe underwater and gain a Nadar Speed equal to your Speed.

Change Appearance. You alter your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and other distinguishing characteristics. You can make yourself appear as a member of another species, though none of your statistics change. You can't appear as a creature of a different size, and your basic shape stays the same; if you're bipedal, you can't use this spell to become quadrupedal, for instance. For the Duracion, you can take a Magic action to change your appearance in this way again.

Natural Weapons. You grow claws (Slashing), fangs (Piercing), horns (Piercing), or hooves (Bludgeoning). When you use your Unarmed Strike to deal dano with that new growth, it deals 1d6 dano of the type in parentheses instead of dealing the normal dano for your Unarmed Strike, and you use your spellcasting ability modifier for the attack and dano rolls rather than using Strength.",
Alustriel's Mooncloak,FRHoF,142,5th,accion,"Concentration, up to 1 minute",abjuracion,personal,"V, S, M (a moonstone worth 50+ GP)","Bard (PHB'24), Druid (PHB'24), Ranger (PHB'24), Wizard (PHB'24)",,Abjurer (PHB'24) Wizard,"For the Duracion, moonlight fills a 20-foot Emanation originating from you with Dim Light. While in that area, you and your allies have Half Cover and Resistance to Cold, Lightning, and Radiant dano.

While the spell lasts, you can use one of the following options, ending the spell immediately:

Liberation. When you fail a tirada de salvacion to avoid or end the asustado, agarrado, or apresado condition, you can take a Reaction to succeed on the save instead.

Respite. As a Magic action, you or an ally within the area regains puntos de golpe equal to 4d10 plus your spellcasting ability modifier.",
Animal Friendship,PHB'14,212,1st,accion,24 hours,encantamiento,30 pies,"V, S, M (a morsel of food)","Bard (PHB'14), Druid (PHB'14), Ranger (PHB'14)",,"Lore (PHB'24) Bard, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric","This spell lets you convince a Bestia that you mean it no harm. Choose a Bestia that you can see within Alcance. It must see and hear you. If the Bestia's Intelligence is 4 or higher, the spell fails. Otherwise, the Bestia debe superar a Wisdom tirada de salvacion o quedar hechizado by you for the spell's Duracion. If you or one of your companions harms el objetivo, the spell ends.","A niveles superiores. When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional Bestia for each slot level above 1st."
Animal Friendship,PHB'24,239,1st,accion,24 hours,encantamiento,30 pies,"V, S, M (a morsel of food)","Bard (PHB'24), Druid (PHB'24), Ranger (PHB'24)",,"Lore (PHB'24) Bard, Nature (PHB'14) Cleric, Nature (PHB'14) Cleric","Target a Bestia that you can see within Alcance. el objetivo debe superar a Wisdom tirada de salvacion or have the hechizado condition for the Duracion. If you or one of your allies deals dano to el objetivo, the spells ends.",Using a Higher-Level Spell Slot. You can target one additional Bestia for each spell slot level above 1.
Animal Messenger,PHB'14,212,2nd,accion,24 hours,Enchantment (ritual),30 pies,"V, S, M (a morsel of food)","Bard (PHB'14), Druid (PHB'14), Ranger (PHB'14)",,Lore (PHB'24) Bard,"By means of this spell, you use an animal to deliver a message. Choose a Diminuto Bestia you can see within Alcance, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as ""a man or woman dressed in the uniform of the town guard"" or ""a red-haired dwarf wearing a pointed hat."" You also speak a message of up to twenty-five words. el objetivo Bestia travels for the Duracion of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals.

When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell ends, the message is lost, and the Bestia makes its way back to where you cast this spell.","A niveles superiores. If you cast this spell using a spell slot of 3rd level or higher, the Duracion of the spell increases by 48 hours for each slot level above 2nd."
Animal Messenger,PHB'24,240,2nd,accion,24 hours,Enchantment (ritual),30 pies,"V, S, M (a morsel of food)","Bard (PHB'24), Druid (PHB'24), Ranger (PHB'24)",,Lore (PHB'24) Bard,"A Diminuto Bestia of your choice that you can see within Alcance debe superar a Charisma tirada de salvacion, or it attempts to deliver a message for you (if el objetivo's Challenge Rating isn't 0, it automatically succeeds). You specify a location you have visited and a recipient who matches a general description, such as ""a person dressed in the uniform of the town guard"" or ""a red-haired dwarf wearing a pointed hat."" You also communicate a message of up to twenty-five words. The Bestia travels for the Duracion toward the specified location, covering about 25 miles per 24 hours or 50 miles if the Bestia can Volar.

When the Bestia arrives, it delivers your message to the creature that you described, mimicking your communication. If the Bestia doesn't reach its destination before the spell ends, the message is lost, and the Bestia returns to where you cast the spell.",Using a Higher-Level Spell Slot. The spell's Duracion increases by 48 hours for each spell slot level above 2.
Animal Shapes,PHB'14,212,8th,accion,"Concentration, up to 24 hours",transmutacion,30 pies,"V, S",Druid (PHB'14),,,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within Alcance. You transform each target into the form of a Grande or smaller Bestia with a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures into new forms.

The transformation lasts for the Duracion for each target, or until el objetivo drops to 0 puntos de golpe or dies. You can choose a different form for each target. A target's game statistics are replaced by the statistics of the chosen Bestia, though el objetivo retains its alignment and Intelligence, Wisdom, and Charisma scores. el objetivo assumes the puntos de golpe of its new form, and when it reverts to its normal form, it returns to the number of puntos de golpe it had before it transformed. If it reverts as a result of dropping to 0 puntos de golpe, any excess dano carries over to its normal form. As long as the excess dano doesn't reduce the creature's normal form to 0 puntos de golpe, it isn't knocked inconsciente. The creature is limited in the actions it can perform by the nature of its new form, and it can't speak or cast spells.

el objetivo's gear melds into the new form. el objetivo can't activate, wield, or otherwise benefit from any of its equipment.",
Animal Shapes,PHB'24,240,8th,accion,24 hours,transmutacion,30 pies,"V, S",Druid (PHB'24),,,"Choose any number of willing creatures that you can see within Alcance. Each target shape-shifts into a Grande or smaller Bestia of your choice that has a Challenge Rating of 4 or lower. You can choose a different form for each target. On later turns, you can take a Magic action to transform the targets again.

A target's game statistics are replaced by the chosen Bestia's statistics, but el objetivo retains its creature type; puntos de golpe; Hit Point Dice; alignment; ability to communicate; and Intelligence, Wisdom, and Charisma scores. el objetivo's actions are limited by the Bestia form's anatomy, and it can't cast spells. el objetivo's equipment melds into the new form, and el objetivo can't use any of that equipment while in that form.

el objetivo gains a number of Temporary puntos de golpe equal to the puntos de golpe of the first form into which it shape-shifts. These Temporary puntos de golpe vanish if any remain when the spell ends. The transformation lasts for the Duracion or until el objetivo ends it as a Bonus Action.",
Animate Dead,PHB'14,212,3rd,1 Min.,instantaneo,necromancia,10 pies,"V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)","Cleric (PHB'14), Wizard (PHB'14)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Spores (TCE) Druid, Spores (TCE) Druid, Lore (PHB'24) Bard, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin","This spell creates an No muerto servant. Choose a pile of bones or a corpse of a Mediano or Pequeno Humanoide within Alcance. Your spell imbues el objetivo with a foul mimicry of life, raising it as an No muerto creature. el objetivo becomes a skeleton if you chose bones or a zombie if you chose a corpse (the DM has the creature's game statistics).

On each of your turns, you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 pies of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.

The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one.","A niveles superiores. When you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional No muerto creatures for each slot level above 3rd. Each of the creatures must come from a different corpse or pile of bones."
Animate Dead,PHB'24,240,3rd,1 Min.,instantaneo,necromancia,10 pies,"V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)","Cleric (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Spores (TCE) Druid, Spores (TCE) Druid, Lore (PHB'24) Bard, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin","Choose a pile of bones or a corpse of a Mediano or Pequeno Humanoide within Alcance. el objetivo becomes an No muerto creature: a Skeleton if you chose bones or a Zombie if you chose a corpse.

On each of your turns, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 60 pies of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a chamber or corridor. If you issue no commands, the creature recibe the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow it until its task is complete.

The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell rather than animating a new creature.",Using a Higher-Level Spell Slot. You animate or reassert control over two additional No muerto creatures for each spell slot level above 3. Each of the creatures must come from a different corpse or pile of bones.
Animate Objects,PHB'14,213,5th,accion,"Concentration, up to 1 minute",transmutacion,120 pies,"V, S","Artificer (TCE), Bard (PHB'14), Sorcerer (PHB'14), Wizard (PHB'14)",,"Forge (XGE) Cleric, Forge (XGE) Cleric","Objects come to life at your command. Choose up to ten nonmagical objects within Alcance that are not being worn or carried. Mediano targets count as two objects, Grande targets count as four objects, Enorme targets count as eight objects. You can't animate any object larger than Enorme. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 puntos de golpe.

As a bonus action, you can mentally command any creature you made with this spell if the creature is within 500 pies of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.

Animated Object StatisticsSizeHPACAttackStrDexTiny2018+8 to hit, 1d4 + 4 damage418Small2516+6 to hit, 1d8 + 2 damage614Medium4013+5 to hit, 2d6 + 1 damage1012Large5010+6 to hit, 2d10 + 2 damage1410Huge8010+8 to hit, 2d12 + 4 damage186An animated object is a Constructo with AC, puntos de golpe, attacks, Strength, and Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is 30 pies; if the object lacks legs or other appendages it can use for locomotion, it instead has a flying speed of 30 pies and can hover. If the object is securely attached to a surface or a larger object, such as a chain bolted to a wall, its speed is 0. It has Vista ciega with a radius of 30 pies and is blind beyond that distance. When the animated object drops to 0 puntos de golpe, it reverts to its original object form, and any remaining dano carries over to its original object form.

If you command an object to attack, it can make a single melee attack against a creature within 5 pies of it. It makes a slam attack with an attack bonus and bludgeoning dano determined by its size. The DM might rule that a specific object inflicts slashing or piercing dano based on its form.","A niveles superiores. If you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th."
Animate Objects,PHB'24,240,5th,accion,"Concentration, up to 1 minute",transmutacion,120 pies,"V, S","Artificer (EFA), Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Forge (XGE) Cleric, Forge (XGE) Cleric","Objects animate at your command. Choose a number of nonmagical objects within Alcance that aren't being worn or carried, aren't fixed to a surface, and aren't Gargantuesco. The maximum number of objects is equal to your spellcasting ability modifier; for this number, a Mediano or smaller target counts as one object, a Grande target counts as two, and a Enorme target counts as three.

Each target animates, sprouts legs, and becomes a Constructo that uses the Animated Object stat block; this creature is under your control until the spell ends or until it is reduced to 0 puntos de golpe. cada criatura you make with this spell is an ally to you and your allies. In combat, it shares your Initiative count and recibe its turn immediately after yours.

Until the spell ends, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 500 pies of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). If you issue no commands, the creature recibe the Dodge action and moves only to avoid harm. When the creature drops to 0 puntos de golpe, it reverts to its object form, and any remaining dano carries over to that form.","Using a Higher-Level Spell Slot. The creature's Slam dano increases by 1d4 (Mediano or smaller), 1d6 (Grande), or 1d12 (Enorme) for each spell slot level above 5."
Antagonize,BMT,50,3rd,accion,instantaneo,encantamiento,30 pies,"V, S, M (a playing card depicting a rogue)",,"Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You whisper magical words that antagonize una criatura of your choice within Alcance. el objetivo must make a Wisdom tirada de salvacion. On a failed save, el objetivo recibe 4d4 psychic dano and must immediately use its reaction to make a melee attack against another creature of your choice that you can see. If el objetivo can't make this attack (for example, because there is no one within its reach or because its reaction is unavailable), el objetivo instead has disadvantage on the next attack roll it makes before the start of your next turn. On a successful save, el objetivo recibe half as much dano only.","A niveles superiores. When you cast this spell using a spell slot of 4th level or higher, the dano increases by 1d4 for each slot level above 3rd."
Antilife Shell,PHB'14,213,5th,accion,"Concentration, up to 1 hour",abjuracion,personal,"V, S",Druid (PHB'14),,"Death (DMG'14) Cleric, Death (DMG'14) Cleric, Grave (XGE) Cleric, Grave (XGE) Cleric, No muerto (VRGR) Warlock, No muerto (VRGR) Warlock","A shimmering barrier extends out from you in a 10-foot radius and moves with you, remaining centered on you and hedging out creatures other than No muerto and constructs. The barrier lasts for the Duracion.

The barrier prevents an affected creature from passing or reaching through. An affected creature can cast spells or make attacks with ranged or reach weapons through the barrier.

If you move so that an affected creature is forced to pass through the barrier, the spell ends.",
Antilife Shell,PHB'24,241,5th,accion,"Concentration, up to 1 hour",abjuracion,personal,"V, S",Druid (PHB'24),,"Death (DMG'14) Cleric, Death (DMG'14) Cleric, Grave (XGE) Cleric, Grave (XGE) Cleric, No muerto (VRGR) Warlock, No muerto (VRGR) Warlock","An aura extends from you in a 10-foot Emanation for the Duracion. The aura prevents creatures other than Constructs and No muerto from passing or reaching through it. An affected creature can cast spells or make attacks with Ranged or Reach weapons through the barrier.

If you move so that an affected creature is forced to pass through the barrier, the spell ends.",
Antimagic Field,PHB'14,213,8th,accion,"Concentration, up to 1 hour",abjuracion,personal,"V, S, M (a pinch of powdered iron or iron filings)","Cleric (PHB'14), Wizard (PHB'14)",,"Abjurer (PHB'24) Wizard, Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","A 10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere, spells can't be cast, summoned creatures disappear, and even magic items become mundane. Until the spell ends, the sphere moves with you, centered on you.

Spells and other magical effects, except those created by an artifact or a deity, are suppressed in the sphere and can't protrude into it. A slot expended to cast a suppressed spell is consumed. While an effect is suppressed, it doesn't function, but the time it spends suppressed counts against its Duracion.

Targeted Effects. Spells and other magical effects, such as magic missile and charm person, that target a creature or an object in the sphere have no effect on that target.

Areas of Magic. The area of another spell or magical effect, such as fireball, can't extend into the sphere. If the sphere overlaps an area of magic, the part of the area that is covered by the sphere is suppressed. For example, the flames created by a wall of fire are suppressed within the sphere, creating a gap in the wall if the overlap is Grande enough.

Spells. Any active spell or other magical effect on a creature or an object in the sphere is suppressed while the creature or object is in it.

Magic Items. The properties and powers of magic items are suppressed in the sphere. For example, a +1 longsword in the sphere functions as a nonmagical longsword.

A magic arma's properties and powers are suppressed if it is used against a target in the sphere or wielded by an attacker in the sphere. If a magic arma or a piece of magic ammunition fully leaves the sphere (for example, if you fire a magic arrow or throw a magic spear at a target outside the sphere), the magic of the item ceases to be suppressed as soon as it exits.

Magical Travel. Teleportation and planar travel fail to work in the sphere, whether the sphere is the destination or the departure point for such magical travel. A portal to another location, world, or plane of existence, as well as an opening to an extradimensional space such as that created by the rope trick spell, temporarily closes while in the sphere.

Creatures and Objects. A creature or object summoned or created by magic temporarily winks out of existence in the sphere. Such a creature instantly reappears once the space the creature occupied is no longer within the sphere.

Dispel Magic. Spells and magical effects such as dispel magic have no effect on the sphere. Likewise, the spheres created by different antimagic field spells don't nullify each other.",
Antimagic Field,PHB'24,241,8th,accion,"Concentration, up to 1 hour",abjuracion,personal,"V, S, M (iron filings)","Cleric (PHB'24), Wizard (PHB'24)",,"Abjurer (PHB'24) Wizard, Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","An aura of antimagic surrounds you in a 10-foot Emanation. No one can cast spells, take Magic actions, or create other magical effects inside the aura, and those things can't target or otherwise affect anything inside it. Magical properties of magic items don't work inside the aura or on anything inside it.

Areas of effect created by spells or other magic can't extend into the aura, and no one can teleport into or out of it or use planar travel there. Portals close temporarily while in the aura.

Ongoing spells, except those cast by an Artifact or a deity, are suppressed in the area. While an effect is suppressed, it doesn't function, but the time it spends suppressed counts against its Duracion.

Dispel Magic has no effect on the aura, and the auras created by different Antimagic Field spells don't nullify each other.",
