"Name,""Source"",""Page"",""Level"",""Casting Time"",""Duration"",""School"",""Range"",""Components"",""Classes"",""Optional/Variant Classes"",""Subclasses"",""Text"",""At Higher Levels""";;;;;;;;;;;;
"Ayuda,""PHB'24"",""239"",""2do"",""Acción"",""8 horas"",""Abjuración"",""30 pies"",""V, S, M (una tira de tela blanca)"",""Artificiero (EFA), Bardo (PHB'24), Clérigo (PHB'24), Druida (PHB'24), Paladín (PHB'24), Guardabosques (PHB'24)"","""",""Celestial (PHB'24) Brujo, Mecánica (PHB'24) Hechicero, Alma Mecánica (TCE) Hechicero, Saber (PHB'24) Bardo, Alma Divina (XGE) Hechicero, Alma Divina (XGE) Hechicero, Vida (PHB'24) Clérigo, Devoción (PHB'24) Paladín, Paz (TCE) Clérigo, Paz (TCE) Clérigo, Solidaridad (PSA) (PSA) Clérigo, Solidaridad (PSA) (PSA) Clérigo"",""Elige hasta tres criaturas dentro del alcance. Los puntos de vida máximos y actuales de cada objetivo aumentan en 5 durante la duración."",""Usando un espacio para hechizos de nivel superior. Los puntos de vida de cada objetivo aumentan en 5 por cada nivel de espacio de hechizo superior a 2.""";;;;;;;;;;;;
"Burbuja de aire,""AAG"",""22"",""2do"",""Acción"",""24 horas"",""Conjuración"",""60 pies"",""S"",""Artificiero (TCE), Artificiero (EFA), Druida (PHB'14), Druida (PHB'24), Guardabosques (PHB'14), Guardabosques (PHB'24), Hechicero (PHB'14), Hechicero (PHB'24), Mago (PHB'14), Mago (PHB'24)"","""",""Tramposo arcano (PHB'24) Pícaro, Tramposo arcano (PHB'14) Pícaro, Lore (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador"",""Creas un globo espectral alrededor de la cabeza de una criatura voluntaria que puedes ver dentro del alcance. El globo se llena de aire fresco que dura hasta que termina el hechizo. Si la criatura tiene más de una cabeza, el globo de aire aparece alrededor de una sola de sus cabezas (que es todo lo que la criatura necesita para evitar la asfixia, suponiendo que todas sus cabezas comparten el mismo sistema respiratorio)."",""En niveles superiores. Cuando lanzas este hechizo usando un espacio de hechizo de nivel 3 o superior, puedes crear dos globos de aire fresco adicionales para cada nivel de espacio superior al 2.""";;;;;;;;;;;;
"Alarma,""PHB'14"",""211"",""1er"",""1 min."",""8 horas"",""Abjuración (ritual)"",""30 pies"",""V, S, M (una campanita y un trozo de alambre fino de plata)"",""Artificiero (TCE), Guardabosques (PHB'14), Mago (PHB'14)"","""",""Abjurador (PHB'24) Mago, Tramposo arcano (PHB'24) Pícaro, Tramposo arcano (PHB'14) Pícaro, Alma mecánica (TCE) Hechicero, Conocimiento (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Vigilantes (TCE) Paladín, Vigilantes (TCE) Paladín"",""Configuras una alarma contra intrusiones no deseadas. Elija una puerta, una ventana o un área dentro del alcance que no sea mayor que un cubo de 20 pies. Hasta que finalice el hechizo, una alarma te avisará cada vez que una criatura pequeña o más grande toque o entre en el área protegida. Cuando lanzas el hechizo, puedes designar criaturas que no harán sonar la alarma. También eliges si la alarma es mental o audible.";;;;;;;;;;;;
;;;;;;;;;;;;
Una alarma mental te alerta con un ping en tu mente si estás dentro de 1 milla del área protegida. Este ping te despierta si estás durmiendo.;;;;;;;;;;;;
;;;;;;;;;;;;
"Una alarma audible produce el sonido de una campana de mano durante 10 segundos a 60 pies."",""""";;;;;;;;;;;;
"Alarma,""PHB'24"",""239"",""1er"",""1 min."",""8 horas"",""Abjuración (ritual)"",""30 pies"",""V, S, M (una campana y alambre de plata)"",""Artificiero (EFA), Guardabosques (PHB'24), Mago (PHB'24)"","""",""Abjurador (PHB'24) Mago, Tramposo arcano (PHB'24) Pícaro, Tramposo arcano (PHB'14) Pícaro, Mecánico (PHB'24) Hechicero, Alma mecánica (TCE) Hechicero, Conocimiento (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Vigilantes (TCE) Paladín, Vigilantes (TCE) Paladín"",""Pones una alarma contra la intrusión. Elija una puerta, una ventana o un área dentro del alcance que no sea mayor que un cubo de 20 pies. Hasta que finalice el hechizo, una alarma te alerta cada vez que una criatura toca o entra en el área protegida. Cuando lanzas el hechizo, puedes designar criaturas que no harán sonar la alarma. También eliges si la alarma es audible o mental:";;;;;;;;;;;;
;;;;;;;;;;;;
Alarma sonora. La alarma produce el sonido de un timbre durante 10 segundos dentro de 60 pies del área protegida.;;;;;;;;;;;;
;;;;;;;;;;;;
"Alarma mental. Se le avisará mediante un ping mental si se encuentra a menos de 1 milla del área protegida. Este ping te despierta si estás dormido."",""""";;;;;;;;;;;;
"Alterarse a sí mismo,""PHB'14"",""211"",""2do"",""Acción"",""Concentración, hasta 1 hora."",""Transmutación"",""Ser"",""V, S"",""Artificiero (TCE), Hechicero (PHB'14), Mago (PHB'14)"","""",""Tramposo arcano (PHB'24) Pícaro, Tramposo arcano (PHB'14) Pícaro, Luna (PHB'14) Druida, Lore (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Hechicero lunar (DSotDQ), Hechicero lunar (DSotDQ)"",""Asumes una forma diferente. Cuando lanzas el hechizo, elige una de las siguientes opciones, cuyos efectos duran mientras dure el hechizo. Mientras dura el hechizo, puedes finalizar una opción como acción para obtener los beneficios de otra diferente.";;;;;;;;;;;;
;;;;;;;;;;;;
Adaptación acuática. Adaptas tu cuerpo a un ambiente acuático, te brotan branquias y te crecen membranas entre los dedos. Puedes respirar bajo el agua y ganar una velocidad de nado igual a tu velocidad al caminar.;;;;;;;;;;;;
;;;;;;;;;;;;
Cambiar apariencia. Transformas tu apariencia. Usted decide cómo se ve, incluida su altura, peso, rasgos faciales, sonido de su voz, longitud del cabello, coloración y características distintivas, si corresponde. Puedes hacerte aparecer como miembro de otra raza, aunque ninguna de tus estadísticas cambia. Tampoco puedes aparecer como una criatura de un tamaño diferente al tuyo, y tu forma básica sigue siendo la misma; Si eres bípedo, no puedes usar este hechizo para convertirte en cuadrúpedo, por ejemplo. En cualquier momento durante la duración del hechizo, puedes usar tu acción para cambiar tu apariencia de esta manera nuevamente.;;;;;;;;;;;
;;;;;;;;;;;;
"Armas naturales. Te crecen garras, colmillos, espinas, cuernos o un arma natural diferente de tu elección. Tus golpes sin armas causan 1d6 de daño contundente, perforante o cortante, según corresponda al arma natural que elijas, y eres competente con tus golpes sin armas. Finalmente, el arma natural es la mágica y tienes un bono de +1 a las tiradas de ataque y daño que hagas al usarla."",""""";;;;;;;;;;;;
"Alterarse a sí mismo,""PHB'24"",""239"",""2do"",""Acción"",""Concentración, hasta 1 hora."",""Transmutación"",""Ser"",""V, S"",""Artificiero (EFA), Hechicero (PHB'24), Mago (PHB'24)"","""",""Tramposo arcano (PHB'24) Pícaro, Tramposo arcano (PHB'14) Pícaro, Luna (PHB'14) Druida, Lore (PHB'24) Bardo, Draconico (PHB'24) Hechicero, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Hechicero lunar (DSotDQ), Hechicero lunar (DSotDQ)"",""Alteras tu forma física. Elija una de las siguientes opciones. Sus efectos duran mientras dura, durante el cual puedes realizar una acción mágica para reemplazar la opción que elegiste por una diferente.";;;;;;;;;;;;
;;;;;;;;;;;;
Adaptación acuática. Te brotan branquias y te crecen telarañas entre tus dedos. Puedes respirar bajo el agua y ganar una velocidad de natación igual a tu velocidad.;;;;;;;;;;;;
;;;;;;;;;;;;
Cambiar apariencia. Alteras tu apariencia. Usted decide cómo se ve, incluida su altura, peso, rasgos faciales, sonido de su voz, largo del cabello, coloración y otras características distintivas. Puedes hacerte aparecer como miembro de otra especie, aunque ninguna de tus estadísticas cambia. No puedes aparecer como una criatura de diferente tamaño y tu forma básica sigue siendo la misma; Si eres bípedo, no puedes usar este hechizo para convertirte en cuadrúpedo, por ejemplo. Mientras dure, puedes realizar una acción mágica para cambiar tu apariencia de esta manera nuevamente.;;;;;;;;;;;
;;;;;;;;;;;;
"Armas naturales. Te crecen garras (Cortar), colmillos (Piercing), cuernos (Piercing) o pezuñas (Bludgeoning). Cuando usas tu Golpe desarmado para infligir daño con ese nuevo crecimiento, causa 1d6 de daño del tipo entre paréntesis en lugar de causar el daño normal para tu Golpe desarmado, y usas tu modificador de habilidad de lanzamiento de hechizos para las tiradas de ataque y daño en lugar de usar Fuerza."",""""";;;;;;;;;;;;
"Capa lunar de Alustriel,""FRHoF"",""142"",""5to"",""Acción"",""Concentración, hasta 1 minuto."",""Abjuración"",""Ser"",""V, S, M (una piedra lunar que vale más de 50 GP)"",""Bardo (PHB'24), Druida (PHB'24), Guardabosques (PHB'24), Mago (PHB'24)"","""",""Mago abjurador (PHB'24)"",""Mientras dura, la luz de la luna llena una emanación de 20 pies que se origina en ti con luz tenue. Mientras estés en esa área, tú y tus aliados tenéis media cobertura y resistencia al daño por frío, rayos y radiación.";;;;;;;;;;;;
;;;;;;;;;;;;
Mientras dura el hechizo, puedes utilizar una de las siguientes opciones, finalizando el hechizo inmediatamente:;;;;;;;;;;;;
;;;;;;;;;;;;
Liberación. Cuando fallas una tirada de salvación para evitar o finalizar la condición Asustado, Agarrado o Retenido, puedes realizar una Reacción para tener éxito en la salvación.;;;;;;;;;;;;
;;;;;;;;;;;;
"Respiro. Como acción mágica, tú o un aliado dentro del área recuperas puntos de vida equivalentes a 4d10 más tu modificador de habilidad de lanzamiento de hechizos."",""""";;;;;;;;;;;;
"Amistad Animal,""PHB'14"",""212"",""1er"",""Acción"",""24 horas"",""Encantamiento"",""30 pies"",""V, S, M (un bocado de comida)"",""Bardo (PHB'14), Druida (PHB'14), Guardabosques (PHB'14)"","""",""Lore (PHB'24) Bardo, Naturaleza (PHB'14) Clérigo, Naturaleza (PHB'14) Clérigo"",""Este hechizo te permite convencer a una bestia de que no quieres hacerle daño. Elige una bestia que puedas ver dentro del alcance. Debe verte y oírte. Si la Inteligencia de la bestia es 4 o superior, el hechizo falla. De lo contrario, la bestia debe superar una tirada de salvación de Sabiduría o ser hechizada por ti mientras dure el hechizo. Si tú o uno de tus compañeros daña al objetivo, el hechizo termina."",""En niveles superiores. Cuando lanzas este hechizo usando un espacio de hechizo de 2.º nivel o superior, puedes afectar a una bestia adicional por cada nivel de espacio por encima del 1.º.""";;;;;;;;;;;;
"Amistad Animal,""PHB'24"",""239"",""1er"",""Acción"",""24 horas"",""Encantamiento"",""30 pies"",""V, S, M (un bocado de comida)"",""Bardo (PHB'24), Druida (PHB'24), Guardabosques (PHB'24)"","""",""Lore (PHB'24) Bardo, Naturaleza (PHB'14) Clérigo, Naturaleza (PHB'14) Clérigo"",""Apunta a una Bestia que puedas ver dentro del alcance. El objetivo debe superar una tirada de salvación de Sabiduría o tener la condición de Encantado mientras dure. Si tú o uno de tus aliados inflige daño al objetivo, el hechizo termina."",""Usando un espacio para hechizos de nivel superior. Puedes apuntar a una Bestia adicional por cada nivel de espacio de hechizo superior a 1.""";;;;;;;;;;;;
"Mensajero de animales,""PHB'14"",""212"",""2do"",""Acción"",""24 horas"",""Encantamiento (ritual)"",""30 pies"",""V, S, M (un bocado de comida)"",""Bardo (PHB'14), Druida (PHB'14), Guardabosques (PHB'14)"","""",""Lore (PHB'24) Bardo"",""Mediante este hechizo, utilizas un animal para entregar un mensaje. Elige una pequeña bestia que puedas ver dentro del alcance, como una ardilla, un arrendajo azul o un murciélago. Especificas un lugar que debes haber visitado y un destinatario que coincide con una descripción general, como """"un hombre o una mujer vestido con el uniforme de la guardia de la ciudad"""" o """"un enano pelirrojo con un sombrero puntiagudo"""". También pronuncias un mensaje de hasta veinticinco palabras. La bestia objetivo viaja durante la duración del hechizo hacia la ubicación especificada, cubriendo aproximadamente 50 millas cada 24 horas para un mensajero volador, o 25 millas para otros animales.";;;;;;;;;;;;
;;;;;;;;;;;;
"Cuando llega el mensajero, entrega tu mensaje a la criatura que describiste, replicando el sonido de tu voz. El mensajero sólo habla con una criatura que coincide con la descripción que diste. Si el mensajero no llega a su destino antes de que termine el hechizo, el mensaje se pierde y la bestia regresa al lugar donde lanzaste el hechizo."",""En niveles superiores. Si lanzas este hechizo usando un espacio de hechizo de 3er nivel o superior, la duración del hechizo aumenta en 48 horas por cada nivel de espacio por encima del 2do.""";;;;;;;;;;;;
"Mensajero de animales,""PHB'24"",""240"",""2do"",""Acción"",""24 horas"",""Encantamiento (ritual)"",""30 pies"",""V, S, M (un bocado de comida)"",""Bardo (PHB'24), Druida (PHB'24), Guardabosques (PHB'24)"","""",""Lore (PHB'24) Bardo"",""Una pequeña bestia de tu elección que puedas ver dentro del alcance debe superar una tirada de salvación de Carisma o intentará enviarte un mensaje (si el índice de desafío del objetivo no es 0, lo logrará automáticamente). Especificas un lugar que has visitado y un destinatario que coincide con una descripción general, como """"una persona vestida con el uniforme de la guardia de la ciudad"""" o """"un enano pelirrojo con un sombrero puntiagudo"""". También comunicas un mensaje de hasta veinticinco palabras. La Bestia viaja durante todo el tiempo hacia la ubicación especificada, cubriendo aproximadamente 25 millas cada 24 horas o 50 millas si la Bestia puede volar.";;;;;;;;;;;;
;;;;;;;;;;;;
"Cuando llega la Bestia, entrega tu mensaje a la criatura que describiste, imitando tu comunicación. Si la Bestia no llega a su destino antes de que termine el hechizo, el mensaje se pierde y la Bestia regresa al lugar donde lanzaste el hechizo."",""Usando un espacio para hechizos de nivel superior. La duración del hechizo aumenta en 48 horas por cada nivel de espacio de hechizo superior a 2.""";;;;;;;;;;;;
"Formas de animales,""PHB'14"",""212"",""octavo"",""Acción"",""Concentración, hasta 24 horas."",""Transmutación"",""30 pies"",""V, S"",""Druida (PHB'14)"","""","""",""Tu magia convierte a otros en bestias. Elige cualquier cantidad de criaturas dispuestas que puedas ver dentro del alcance. Transformas cada objetivo en la forma de una bestia grande o más pequeña con una calificación de desafío de 4 o menos. En turnos posteriores, puedes usar tu acción para transformar a las criaturas afectadas en nuevas formas.";;;;;;;;;;;;
;;;;;;;;;;;;
La transformación dura mientras dura cada objetivo, o hasta que el objetivo cae a 0 puntos de vida o muere. Puedes elegir una forma diferente para cada objetivo. Las estadísticas de juego de un objetivo se reemplazan por las estadísticas de la bestia elegida, aunque el objetivo conserva su alineación y sus puntuaciones de Inteligencia, Sabiduría y Carisma. El objetivo asume los puntos de vida de su nueva forma, y ​​cuando vuelve a su forma normal, vuelve al número de puntos de vida que tenía antes de transformarse. Si se revierte como resultado de caer a 0 puntos de vida, cualquier exceso de daño se traslada a su forma normal. Siempre que el exceso de daño no reduzca la forma normal de la criatura a 0 puntos de vida, no quedará inconsciente. La criatura está limitada en las acciones que puede realizar por la naturaleza de su nueva forma y no puede hablar ni lanzar hechizos.;;;;;;;;;;;;
;;;;;;;;;;;;
"El equipo del objetivo se funde en la nueva forma. El objetivo no puede activar, empuñar ni beneficiarse de ningún otro modo de ninguno de sus equipos."",""""";;;;;;;;;;;;
"Formas de animales,""PHB'24"",""240"",""octavo"",""Acción"",""24 horas"",""Transmutación"",""30 pies"",""V, S"",""Druida (PHB'24)"","""","""",""Elige cualquier cantidad de criaturas dispuestas que puedas ver dentro del alcance. Cada objetivo cambia de forma a una Bestia grande o más pequeña de tu elección que tiene un índice de desafío de 4 o menos. Puedes elegir una forma diferente para cada objetivo. En turnos posteriores, puedes realizar una acción mágica para transformar los objetivos nuevamente.";;;;;;;;;;;;
;;;;;;;;;;;;
Las estadísticas del juego de un objetivo son reemplazadas por las estadísticas de la Bestia elegida, pero el objetivo conserva su tipo de criatura; Puntos de vida; Dados de puntos de vida; alineación; capacidad de comunicarse; y puntuaciones de Inteligencia, Sabiduría y Carisma. Las acciones del objetivo están limitadas por la anatomía de la forma de Bestia y no puede lanzar hechizos. El equipo del objetivo se fusiona en la nueva forma y el objetivo no puede usar nada de ese equipo mientras esté en esa forma.;;;;;;;
;;;;;;;;;;;;
"El objetivo gana una cantidad de puntos de vida temporales iguales a los puntos de vida de la primera forma en la que cambia de forma. Estos puntos de vida temporales desaparecen si quedan alguno cuando finaliza el hechizo. La transformación dura mientras dura o hasta que el objetivo la finaliza como acción adicional."",""""";;;;;;;;;;;;
"animar muertos,""PHB'14"",""212"",""3er"",""1 min."",""Instantáneo"",""Nigromancia"",""10 pies"",""V, S, M (una gota de sangre, un trozo de carne y una pizca de polvo de huesos)"",""Clérigo (PHB'14), Mago (PHB'14)"","""",""Tramposo arcano (PHB'24) Pícaro, Tramposo arcano (PHB'14) Pícaro, Esporas (TCE) Druida, Esporas (TCE) Druida, Conocimiento (PHB'24) Bardo, Muerte (DMG'14) Clérigo, Muerte (DMG'14) Clérigo, Alma divina (XGE) Hechicero, Alma divina (XGE) Hechicero, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Rompejuramentos (DMG'14) Paladín, Rompejuramentos (DMG'14) Paladín"",""Este hechizo crea un sirviente no-muerto. Elige un montón de huesos o el cadáver de un humanoide mediano o pequeño dentro del alcance. Tu hechizo imbuye al objetivo con una asquerosa imitación de vida, levantándolo como una criatura no-muerta. El objetivo se convierte en un esqueleto si eliges huesos o en un zombi si eliges un cadáver (el DM tiene las estadísticas del juego de la criatura).";;;;;;;;;;;;
;;;;;;;;;;;;
En cada uno de tus turnos, puedes usar una acción adicional para comandar mentalmente cualquier criatura que hayas creado con este hechizo si la criatura está a 60 pies de ti (si controlas varias criaturas, puedes comandar cualquiera o todas al mismo tiempo, emitiendo la misma orden a cada una). Tú decides qué acción realizará la criatura y hacia dónde se moverá durante su próximo turno, o puedes dar una orden general, como proteger una cámara o corredor en particular. Si no das ninguna orden, la criatura sólo se defiende contra criaturas hostiles. Una vez dada una orden, la criatura continúa siguiéndola hasta completar su tarea.;;;;;;;;;;;;
;;;;;;;;;;;;
"La criatura está bajo tu control durante 24 horas, después de las cuales deja de obedecer cualquier orden que le hayas dado. Para mantener el control de la criatura durante otras 24 horas, debes lanzar este hechizo sobre la criatura nuevamente antes de que finalice el período actual de 24 horas. Este uso del hechizo reafirma tu control sobre hasta cuatro criaturas que hayas animado con este hechizo, en lugar de animar una nueva."",""En niveles superiores. Cuando lanzas este hechizo usando un espacio de hechizo de nivel 4 o superior, animas o reafirmas el control sobre dos criaturas no muertas adicionales por cada nivel de espacio por encima del 3. Cada una de las criaturas debe provenir de un cadáver o montón de huesos diferente.""";;;;;;;;;;;;
"animar muertos,""PHB'24"",""240"",""3er"",""1 min."",""Instantáneo"",""Nigromancia"",""10 pies"",""V, S, M (una gota de sangre, un trozo de carne y una pizca de polvo de huesos)"",""Clérigo (PHB'24), Mago (PHB'24)"","""",""Tramposo arcano (PHB'24) Pícaro, Tramposo arcano (PHB'14) Pícaro, Esporas (TCE) Druida, Esporas (TCE) Druida, Conocimiento (PHB'24) Bardo, Muerte (DMG'14) Clérigo, Muerte (DMG'14) Clérigo, Alma divina (XGE) Hechicero, Alma divina (XGE) Hechicero, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Rompejuramentos (DMG'14) Paladín, Rompejuramentos (DMG'14) Paladín"",""Elige un montón de huesos o el cadáver de un humanoide mediano o pequeño dentro del alcance. El objetivo se convierte en una criatura no muerta: un esqueleto si eliges huesos o un zombi si eliges un cadáver.";;;;;;;;;;;;
;;;;;;;;;;;;
En cada uno de tus turnos, puedes realizar una acción adicional para comandar mentalmente cualquier criatura que hayas creado con este hechizo si la criatura está a 60 pies de ti (si controlas varias criaturas, puedes comandar cualquiera de ellas al mismo tiempo, emitiendo la misma orden a cada una). Tú decides qué acción realizará la criatura y hacia dónde se moverá en su próximo turno, o puedes dar una orden general, como proteger una cámara o un corredor. Si no das ninguna orden, la criatura realiza la acción de esquivar y se mueve sólo para evitar daño. Una vez dada una orden, la criatura continúa siguiéndola hasta completar su tarea.;;;;;;;;;;;;
;;;;;;;;;;;;
"La criatura está bajo tu control durante 24 horas, después de las cuales deja de obedecer cualquier orden que le hayas dado. Para mantener el control de la criatura durante otras 24 horas, debes lanzar este hechizo sobre la criatura nuevamente antes de que finalice el período actual de 24 horas. Este uso del hechizo reafirma tu control sobre hasta cuatro criaturas que hayas animado con este hechizo en lugar de animar una nueva criatura."",""Usando un espacio para hechizos de nivel superior. Animas o reafirmas el control sobre dos criaturas no muertas adicionales por cada nivel de espacio de hechizo superior a 3. Cada una de las criaturas debe provenir de un cadáver o montón de huesos diferente.""";;;;;;;;;;;;
"Animar objetos,""PHB'14"",""213"",""5to"",""Acción"",""Concentración, hasta 1 minuto."",""Transmutación"",""120 pies"",""V, S"",""Artificiero (TCE), Bardo (PHB'14), Hechicero (PHB'14), Mago (PHB'14)"","""",""Clérigo de Forja (XGE), Clérigo de Forja (XGE)"",""Los objetos cobran vida a tus órdenes. Elija hasta diez objetos no mágicos dentro del alcance que no estén siendo usados ​​ni transportados. Los objetivos medianos cuentan como dos objetos, los objetivos grandes cuentan como cuatro objetos y los objetivos enormes cuentan como ocho objetos. No puedes animar ningún objeto más grande que Huge. Cada objetivo se anima y se convierte en una criatura bajo tu control hasta que finaliza el hechizo o hasta que se reduce a 0 puntos de vida.";;;;;;;;;;;;
;;;;;;;;;;;;
Como acción adicional, puedes comandar mentalmente cualquier criatura que hayas creado con este hechizo si la criatura está a 500 pies de ti (si controlas varias criaturas, puedes comandar cualquiera o todas al mismo tiempo, emitiendo la misma orden a cada una). Tú decides qué acción realizará la criatura y hacia dónde se moverá durante su próximo turno, o puedes dar una orden general, como proteger una cámara o corredor en particular. Si no das ninguna orden, la criatura sólo se defiende contra criaturas hostiles. Una vez dada una orden, la criatura continúa siguiéndola hasta completar su tarea.;;;;;;;;;;;;
;;;;;;;;;;;;
